exec,bestf,worstf,avgf,endstep,duration
1,3677.0,3623.0,3649.14,1899,80
2,3677.0,3302.6,3469.6909999999993,261,5
3,3677.0,3270.1,3380.006,163,2
4,3677.0,3649.0,3661.61,3300,22
5,3677.0,3293.9,3445.2820000000006,192,2
6,3677.0,3277.8,3386.6520000000014,186,2
7,3677.0,3264.0,3383.2000000000007,132,1
8,3677.0,3479.0,3579.58,502,4
9,3677.0,3481.0,3581.96,558,4
10,3677.0,2737.0,3329.9869999999996,101,2
11,3677.0,2814.0,3332.541,101,1
12,3677.0,3610.0,3643.48,1756,11
13,3677.0,3493.0,3590.8,528,3
14,3677.0,3622.0,3651.04,1487,9
15,3677.0,3533.0,3609.56,683,5
16,3677.0,3490.0,3585.19,568,4
17,3677.0,3556.0,3609.59,689,6
18,3677.0,2669.0,3308.511,101,1
19,3677.0,3612.0,3646.0,1508,9
20,3677.0,3626.0,3653.12,1479,9
21,3677.0,3612.0,3646.05,1254,6
22,3677.0,3594.0,3637.07,1178,8
23,3677.0,3306.8,3487.5600000000004,275,2
24,3677.0,3381.0,3534.88,423,4
25,3677.0,2658.0,3364.258,101,1
26,3677.0,3610.0,3641.87,1451,7
27,3677.0,3587.0,3632.44,1093,5
28,3677.0,3041.0,3329.8750000000005,101,1
29,3677.0,2716.0,3322.8319999999994,101,2
30,3677.0,2911.0,3300.6399999999994,101,1
