exec,step,bestf,worstf,avgf
11,0,3.7957272E7,3.40563285E7,3.675220215757002E7
11,1,3.7957272E7,3.40574274E7,3.675257762542002E7
11,2,3.7957272E7,3.40585837E7,3.675258779404002E7
11,3,3.7957272E7,3.40595249E7,3.6752919491370015E7
11,4,3.7957272E7,3.40597027E7,3.675328016728001E7
11,5,3.7957272E7,3.40617535E7,3.675362636181001E7
11,6,3.7957272E7,3.40620837E7,3.6753989819160014E7
11,7,3.7957272E7,3.40639545E7,3.6754358027190015E7
11,8,3.7957272E7,3.40655791E7,3.675473829454002E7
11,9,3.7957272E7,3.40664074E7,3.675508056383002E7
11,10,3.7957272E7,3.40667826E7,3.6755453785190016E7
11,11,3.7957272E7,3.40683127E7,3.675576926953002E7
11,12,3.7957272E7,3.40686726E7,3.675607664786001E7
11,13,3.7957272E7,3.40690753E7,3.675643405510002E7
11,14,3.7957272E7,3.40714738E7,3.6756705583870016E7
11,15,3.7957272E7,3.40723057E7,3.675705432269002E7
11,16,3.7957272E7,3.40726464E7,3.675742150182002E7
11,17,3.7957272E7,3.40729321E7,3.6757796605880015E7
11,18,3.7957272E7,3.40731137E7,3.675780179810002E7
11,19,3.7957272E7,3.4074183E7,3.675780583412001E7
11,20,3.7957272E7,3.40748969E7,3.675781012758002E7
11,21,3.7957272E7,3.40767824E7,3.675815824419002E7
11,22,3.7957272E7,3.40767875E7,3.675851724095002E7
11,23,3.7957272E7,3.40776754E7,3.675852344075002E7
11,24,3.7957272E7,3.40784185E7,3.675885601711001E7
11,25,3.7957272E7,3.40795724E7,3.675886337017001E7
11,26,3.7957272E7,3.40798848E7,3.675920528743002E7
11,27,3.7957272E7,3.4080161E7,3.675950901945002E7
11,28,3.7957272E7,3.40804808E7,3.6759837592050016E7
11,29,3.7957272E7,3.40806019E7,3.676020057407002E7
11,30,3.7957272E7,3.40806899E7,3.6760504445180014E7
11,31,3.7957272E7,3.40819619E7,3.676078568659002E7
11,32,3.7957272E7,3.40821706E7,3.676116957080002E7
11,33,3.7957272E7,3.40822264E7,3.676151426944002E7
11,34,3.7957272E7,3.4082413E7,3.676183722090002E7
11,35,3.7957272E7,3.40834491E7,3.6762180466600016E7
11,36,3.7957272E7,3.40836392E7,3.6762479979690015E7
11,37,3.7957272E7,3.40837586E7,3.676282059377001E7
11,38,3.7957272E7,3.40839586E7,3.676317786911002E7
11,39,3.7957272E7,3.40843853E7,3.6763519959050015E7
11,40,3.7957272E7,3.40845585E7,3.676352334991001E7
11,41,3.7957272E7,3.40846273E7,3.6763898469760016E7
11,42,3.7957272E7,3.40848031E7,3.676423137693001E7
11,43,3.7957272E7,3.40848355E7,3.676454900512002E7
11,44,3.7957272E7,3.40852157E7,3.676486710507001E7
11,45,3.7957272E7,3.40852638E7,3.676523262090002E7
11,46,3.7957272E7,3.40855326E7,3.676523925080002E7
11,47,3.7957272E7,3.40858614E7,3.676558314594001E7
11,48,3.7957272E7,3.40859266E7,3.676558956739002E7
11,49,3.7957272E7,3.40860328E7,3.6765937895930015E7
11,50,3.7957272E7,3.40861349E7,3.676594285076001E7
11,51,3.7957272E7,3.40862009E7,3.676628304097001E7
11,52,3.7957272E7,3.4086334E7,3.6766288508970015E7
11,53,3.7957272E7,3.40863681E7,3.6766294463620014E7
11,54,3.7957272E7,3.40864478E7,3.676629883990002E7
11,55,3.7957272E7,3.40871039E7,3.676659506762002E7
11,56,3.7957272E7,3.40877106E7,3.676659638574003E7
11,57,3.7957272E7,3.40878347E7,3.676696655048002E7
11,58,3.7957272E7,3.40879167E7,3.676731603491002E7
11,59,3.7957272E7,3.40880603E7,3.676762983214002E7
11,60,3.7957272E7,3.40880672E7,3.676792970331002E7
11,61,3.7957272E7,3.40886064E7,3.676825823389002E7
11,62,3.7957272E7,3.40891897E7,3.676826244309002E7
11,63,3.7957272E7,3.40892005E7,3.6768635812420025E7
11,64,3.7957272E7,3.40896912E7,3.6769022297870025E7
11,65,3.7957272E7,3.40897416E7,3.6769331368150026E7
11,66,3.7957272E7,3.40899411E7,3.6769335101350024E7
11,67,3.7957272E7,3.40741894E7,3.6769333526180014E7
11,68,3.7957272E7,3.40900035E7,3.676969213184002E7
11,69,3.7957272E7,3.40901592E7,3.676996477389002E7
11,70,3.7957272E7,3.40901983E7,3.677030522967002E7
11,71,3.7957272E7,3.40903569E7,3.677068121044002E7
11,72,3.7957272E7,3.40904237E7,3.677068772772002E7
11,73,3.7957272E7,3.40906771E7,3.677104031445002E7
11,74,3.7957272E7,3.40908245E7,3.677136410394002E7
11,75,3.7957272E7,3.40910959E7,3.677174705879001E7
11,76,3.7957272E7,3.40913217E7,3.677208294880002E7
11,77,3.7957272E7,3.4091732E7,3.677243942773002E7
11,78,3.7957272E7,3.40917444E7,3.677243942897002E7
11,79,3.7957272E7,3.4091756E7,3.677244321755002E7
11,80,3.7957272E7,3.40919414E7,3.677275838305002E7
11,81,3.7957272E7,3.40920956E7,3.677306977541002E7
11,82,3.7957272E7,3.40921922E7,3.677341728715002E7
11,83,3.7957272E7,3.40922471E7,3.677376492993001E7
11,84,3.7957272E7,3.40926075E7,3.6774084746720016E7
11,85,3.7957272E7,3.40926078E7,3.677433788587002E7
11,86,3.7957272E7,3.40926879E7,3.677464242179001E7
11,87,3.7957272E7,3.40930503E7,3.677496702670002E7
11,88,3.7957272E7,3.40931358E7,3.677496892394002E7
11,89,3.7957272E7,3.40932117E7,3.6775330649360016E7
11,90,3.7957272E7,3.40938527E7,3.677567442429002E7
11,91,3.7957272E7,3.4093965E7,3.677604858422002E7
11,92,3.7957272E7,3.40940142E7,3.677634691052002E7
11,93,3.7957272E7,3.40941946E7,3.677635315590001E7
11,94,3.7957272E7,3.40942274E7,3.677635835934001E7
11,95,3.7957272E7,3.40942289E7,3.677668287910001E7
11,96,3.7957272E7,3.40944135E7,3.677697709651001E7
11,97,3.7957272E7,3.40946653E7,3.677733033816001E7
11,98,3.7957272E7,3.40947191E7,3.677770384283002E7
11,99,3.7957272E7,3.40948624E7,3.6778050338220015E7
11,100,3.7957272E7,3.4094887E7,3.677834911588002E7
11,101,3.7957272E7,3.40949083E7,3.677868331528002E7
11,102,3.7957272E7,3.40950437E7,3.677905089275002E7
11,103,3.7957272E7,3.40952238E7,3.677936869588002E7
11,104,3.7957272E7,3.40952835E7,3.677937039467002E7
11,105,3.7957272E7,3.40957112E7,3.677967266742002E7
11,106,3.7957272E7,3.40957633E7,3.6779993431800015E7
11,107,3.7957272E7,3.40958193E7,3.678029792257002E7
11,108,3.7957272E7,3.40964066E7,3.678059297154002E7
11,109,3.7957272E7,3.40966372E7,3.678094322238002E7
11,110,3.7957272E7,3.40968419E7,3.678132152186002E7
11,111,3.7957272E7,3.40968491E7,3.678161131557002E7
11,112,3.7957272E7,3.40968602E7,3.678194168966002E7
11,113,3.7957272E7,3.40968862E7,3.6782205807240024E7
11,114,3.7957272E7,3.40974131E7,3.678255657342002E7
11,115,3.7957272E7,3.40974468E7,3.6782883944310024E7
11,116,3.7957272E7,3.40975212E7,3.678288733357002E7
11,117,3.7957272E7,3.40975465E7,3.6782890874430016E7
11,118,3.7957272E7,3.40976937E7,3.678327052038002E7
11,119,3.7957272E7,3.4097704E7,3.678356936471002E7
11,120,3.7957272E7,3.40980361E7,3.678357234285002E7
11,121,3.7957272E7,3.40983017E7,3.678357667570002E7
11,122,3.7957272E7,3.40984736E7,3.678391764493002E7
11,123,3.7957272E7,3.40985146E7,3.678425864147002E7
11,124,3.7957272E7,3.40987917E7,3.6784502599610016E7
11,125,3.7957272E7,3.40989008E7,3.678485364764001E7
11,126,3.7957272E7,3.40990825E7,3.678518057726002E7
11,127,3.7957272E7,3.40995443E7,3.678551848371001E7
11,128,3.7957272E7,3.40996328E7,3.678588633248001E7
11,129,3.7957272E7,3.40996369E7,3.678588961273002E7
11,130,3.7957272E7,3.40999207E7,3.678624703974001E7
11,131,3.7957272E7,3.40999798E7,3.6786251705550015E7
11,132,3.7957272E7,3.41000432E7,3.678660297887001E7
11,133,3.7957272E7,3.4100051E7,3.6786952382950015E7
11,134,3.7957272E7,3.41002851E7,3.678728254505001E7
11,135,3.7957272E7,3.41003412E7,3.678765320744001E7
11,136,3.7957272E7,3.41003923E7,3.678798496642001E7
11,137,3.7957272E7,3.41004938E7,3.678832348679002E7
11,138,3.7957272E7,3.41005596E7,3.678870623881002E7
11,139,3.7957272E7,3.41005669E7,3.678904977525002E7
