exec,step,bestf,worstf,avgf
29,0,3.7957292E7,3.40368849E7,3.678832914227995E7
29,1,3.7957292E7,3.40373634E7,3.678869951378995E7
29,2,3.7957292E7,3.40420135E7,3.678897213514995E7
29,3,3.7957292E7,3.40425583E7,3.678934552969995E7
29,4,3.7957292E7,3.40432612E7,3.6789619395269945E7
29,5,3.7957292E7,3.40506044E7,3.678999946784995E7
29,6,3.7957292E7,3.40521394E7,3.6790291864109956E7
29,7,3.7957292E7,3.40523773E7,3.6790559243169956E7
29,8,3.7957292E7,3.40524049E7,3.679086419803996E7
29,9,3.7957292E7,3.40548059E7,3.6791208193149954E7
29,10,3.7957292E7,3.40579434E7,3.679154487615996E7
29,11,3.7957292E7,3.40582795E7,3.6791857885319956E7
29,12,3.7957292E7,3.40598102E7,3.679224198316995E7
29,13,3.7957292E7,3.40653594E7,3.6792252157109946E7
29,14,3.7957292E7,3.40673641E7,3.6792635409069955E7
29,15,3.7957292E7,3.40675028E7,3.679294233945995E7
29,16,3.7957292E7,3.40675792E7,3.679328740037995E7
29,17,3.7957292E7,3.40689782E7,3.679329462813995E7
29,18,3.7957292E7,3.40693109E7,3.679367965351994E7
29,19,3.7957292E7,3.40696607E7,3.6794041192929946E7
29,20,3.7957292E7,3.40713938E7,3.679434457635995E7
29,21,3.7957292E7,3.40715914E7,3.679469081467994E7
29,22,3.7957292E7,3.40732164E7,3.679506291803994E7
29,23,3.7957292E7,3.40746311E7,3.6795426705399945E7
29,24,3.7957292E7,3.40751076E7,3.679579718268995E7
29,25,3.7957292E7,3.40762313E7,3.679617631822994E7
29,26,3.7957292E7,3.40764477E7,3.6796532826999955E7
29,27,3.7957292E7,3.40765183E7,3.6796850751029946E7
29,28,3.7957292E7,3.4074503E7,3.6796850549499944E7
29,29,3.7957292E7,3.40778384E7,3.679718476619995E7
29,30,3.7957292E7,3.4077927E7,3.679751781955995E7
29,31,3.7957292E7,3.40783874E7,3.679780861765995E7
29,32,3.7957292E7,3.40796024E7,3.679818855751995E7
29,33,3.7957292E7,3.40818233E7,3.6798552210079946E7
29,34,3.7957292E7,3.40828012E7,3.679893090584994E7
29,35,3.7957292E7,3.40831227E7,3.679893838259994E7
29,36,3.7957292E7,3.40834204E7,3.6798944981189944E7
29,37,3.7957292E7,3.40836359E7,3.679926368604994E7
29,38,3.7957292E7,3.40836505E7,3.6799269315459944E7
29,39,3.7957292E7,3.40840105E7,3.679960189530994E7
29,40,3.7957292E7,3.40845733E7,3.679991539795994E7
29,41,3.7957292E7,3.4084637E7,3.680024431402995E7
29,42,3.7957292E7,3.40853809E7,3.680058306452994E7
29,43,3.7957292E7,3.40854528E7,3.680090826603994E7
29,44,3.7957292E7,3.40857089E7,3.680091556989995E7
29,45,3.7957292E7,3.40865587E7,3.680127461320995E7
29,46,3.7957292E7,3.40871276E7,3.680160265523995E7
29,47,3.7957292E7,3.40871499E7,3.680186428257994E7
29,48,3.7957292E7,3.40876955E7,3.680222646328995E7
29,49,3.7957292E7,3.40879579E7,3.680253500923995E7
29,50,3.7957292E7,3.40879632E7,3.680286992674995E7
29,51,3.7957292E7,3.408802E7,3.680321752182994E7
29,52,3.7957292E7,3.40887717E7,3.680322247405994E7
29,53,3.7957292E7,3.40889362E7,3.680355167698995E7
29,54,3.7957292E7,3.40894087E7,3.680393190726995E7
29,55,3.7957292E7,3.40894243E7,3.680428716109995E7
29,56,3.7957292E7,3.40894714E7,3.6804567161469944E7
29,57,3.7957292E7,3.40900993E7,3.680457363102994E7
29,58,3.7957292E7,3.40901187E7,3.680493387459995E7
29,59,3.7957292E7,3.40902073E7,3.680523848172995E7
29,60,3.7957292E7,3.40906473E7,3.680556440889995E7
29,61,3.7957292E7,3.40906483E7,3.680584786076995E7
29,62,3.7957292E7,3.40906803E7,3.680615790233995E7
29,63,3.7957292E7,3.40909933E7,3.680651187700994E7
29,64,3.7957292E7,3.40910428E7,3.680687023497995E7
29,65,3.7957292E7,3.40910895E7,3.680724650989995E7
29,66,3.7957292E7,3.40919926E7,3.680755398864995E7
29,67,3.7957292E7,3.40921504E7,3.680755526784995E7
29,68,3.7957292E7,3.40921902E7,3.680793744340995E7
29,69,3.7957292E7,3.40921915E7,3.680825546688995E7
29,70,3.7957292E7,3.4092245E7,3.680863095673995E7
29,71,3.7957292E7,3.40922668E7,3.680891452183995E7
29,72,3.7957292E7,3.40923822E7,3.6809219387259945E7
29,73,3.7957292E7,3.40926875E7,3.680956769143996E7
29,74,3.7957292E7,3.40928446E7,3.6809933010389954E7
29,75,3.7957292E7,3.40929508E7,3.6810233936829954E7
29,76,3.7957292E7,3.40929785E7,3.681059484044995E7
29,77,3.7957292E7,3.40931508E7,3.681060154223996E7
29,78,3.7957292E7,3.40934082E7,3.681060689455995E7
29,79,3.7957292E7,3.40937822E7,3.681099128533995E7
29,80,3.7957292E7,3.4093839E7,3.681099663810995E7
29,81,3.7957292E7,3.40940905E7,3.681134938160995E7
29,82,3.7957292E7,3.40945338E7,3.681171168415995E7
29,83,3.7957292E7,3.40945505E7,3.681171354391995E7
29,84,3.7957292E7,3.40950049E7,3.681199250466995E7
29,85,3.7957292E7,3.4095297E7,3.681230809607995E7
29,86,3.7957292E7,3.4095387E7,3.681261862857996E7
29,87,3.7957292E7,3.40955001E7,3.681298238207996E7
29,88,3.7957292E7,3.40957861E7,3.681330915086996E7
29,89,3.7957292E7,3.40959948E7,3.6813312920689955E7
29,90,3.7957292E7,3.40959953E7,3.681331837175995E7
29,91,3.7957292E7,3.40960218E7,3.681366890812995E7
29,92,3.7957292E7,3.4096391E7,3.681404168014995E7
29,93,3.7957292E7,3.40963965E7,3.681435675394995E7
29,94,3.7957292E7,3.40966195E7,3.681467942079995E7
29,95,3.7957292E7,3.40967207E7,3.681499874084995E7
29,96,3.7957292E7,3.40968478E7,3.681535576567995E7
29,97,3.7957292E7,3.40968743E7,3.681536153067995E7
29,98,3.7957292E7,3.40969603E7,3.681570980684996E7
29,99,3.7957292E7,3.40969694E7,3.681608472081995E7
29,100,3.7957292E7,3.40970536E7,3.681642440057995E7
29,101,3.7957292E7,3.40972424E7,3.681642932331995E7
29,102,3.7957292E7,3.40972522E7,3.681679945857996E7
29,103,3.7957292E7,3.40973914E7,3.681680206907996E7
29,104,3.7957292E7,3.40974204E7,3.6817130238939956E7
29,105,3.7957292E7,3.40974594E7,3.681713491592995E7
29,106,3.7957292E7,3.40976848E7,3.681746431248996E7
29,107,3.7957292E7,3.40977086E7,3.681779289540996E7
29,108,3.7957292E7,3.40977499E7,3.681815699494996E7
29,109,3.7957292E7,3.40978344E7,3.681845641145996E7
29,110,3.7957292E7,3.40979687E7,3.681878492721996E7
29,111,3.7957292E7,3.40982745E7,3.681910730744996E7
29,112,3.7957292E7,3.40983314E7,3.681946750049996E7
29,113,3.7957292E7,3.40987414E7,3.681947236601996E7
29,114,3.7957292E7,3.40987633E7,3.681985763977996E7
29,115,3.7957292E7,3.40988604E7,3.682022635344996E7
29,116,3.7957292E7,3.40989873E7,3.682058165970996E7
29,117,3.7957292E7,3.40992291E7,3.682058755329996E7
29,118,3.7957292E7,3.40992663E7,3.6820593022829965E7
29,119,3.7957292E7,3.40995106E7,3.6820885463999964E7
29,120,3.7957292E7,3.40998502E7,3.682118108023997E7
29,121,3.7957292E7,3.41003698E7,3.682118619172996E7
29,122,3.7957292E7,3.41004032E7,3.682156473134996E7
