exec,bestf,worstf,avgf,endstep,duration
1,3677.0,3556.0,3615.09,768,81
2,3677.0,3577.0,3626.37,1046,44
3,3677.0,3636.0,3654.5,2434,58
4,3677.0,3578.0,3624.13,1003,19
5,3677.0,2764.0,3327.87,101,2
6,3677.0,3463.0,3582.76,505,9
7,3677.0,2847.0,3313.3260000000005,101,1
8,3677.0,3622.0,3646.88,1822,21
9,3677.0,3277.5,3409.841,171,3
10,3677.0,3649.0,3662.79,3284,35
11,3677.0,3612.0,3644.44,1475,19
12,3677.0,3630.0,3653.01,2082,23
13,3677.0,3297.1,3444.2919999999995,269,4
14,3677.0,3597.0,3635.21,1253,14
15,3677.0,3579.0,3624.01,963,8
16,3677.0,3632.0,3654.62,2227,19
17,3677.0,3622.0,3645.42,1675,14
18,3677.0,3598.0,3638.35,1247,11
19,3677.0,3500.0,3586.4,575,7
20,3677.0,3304.6,3486.8210000000004,287,3
21,3677.0,3603.0,3642.56,1361,14
22,3677.0,2667.0,3291.1599999999994,101,1
23,3677.0,3602.0,3640.5,1450,12
24,3677.0,3529.0,3602.72,636,8
25,3677.0,3298.7,3456.1349999999993,258,2
26,3677.0,3585.0,3626.66,1055,12
27,3677.0,3626.0,3649.31,1822,23
28,3677.0,3487.0,3581.95,538,8
29,3677.0,3294.2,3445.155000000001,214,5
30,3677.0,3006.0,3312.459,101,2
