exec,bestf,worstf,avgf,endstep,duration
1,3.7957315E7,3.41582166E7,3.785858760866E7,60000,38528
2,3.7957288E7,3.7337558E7,3.78577751934E7,60000,36202
3,3.7957309E7,3.735508E7,3.78591036928E7,60000,37133
4,3.7957305E7,3.41533079E7,3.785636912109E7,60000,36449
5,3.795732E7,3.41438955E7,3.785592424925E7,60000,35233
6,3.7957273E7,3.7495908E7,3.78579747688E7,60000,35576
7,3.7957311E7,3.7764783E7,3.785668745E7,60000,35214
8,3.7957312E7,3.7225341E7,3.78570999584E7,60000,36117
9,3.7957322E7,3.41585019E7,3.785931935769E7,60000,35511
10,3.7957295E7,3.41570433E7,3.786020819423E7,60000,34931
11,3.7957295E7,3.41470644E7,3.785952414124E7,60000,35526
12,3.7957314E7,3.41580895E7,3.785836164415E7,60000,35562
13,3.7957269E7,3.7723259E7,3.7857747592E7,60000,35104
14,3.7957323E7,3.7010667E7,3.78585631789E7,60000,37806
15,3.7957309E7,3.7750694E7,3.78578103157E7,60000,37163
16,3.7957321E7,3.40630825E7,3.785760069365E7,60000,37638
17,3.7957323E7,3.41461176E7,3.785762321226E7,60000,36790
18,3.795732E7,3.7604889E7,3.78574642126E7,60000,36134
19,3.7957319E7,3.7495162E7,3.78604862214E7,60000,36930
20,3.7957282E7,3.41598824E7,3.785703306954E7,60000,35093
21,3.7957299E7,3.7768645E7,3.78594040997E7,60000,35438
22,3.7957315E7,3.7728185E7,3.78588681897E7,60000,36437
23,3.7957309E7,3.7626403E7,3.78586829504E7,60000,35354
24,3.7957279E7,3.7427917E7,3.78570475218E7,60000,35529
25,3.7957292E7,3.7227144E7,3.78581792848E7,60000,35469
26,3.7957274E7,3.7424615E7,3.78607438423E7,60000,35460
27,3.7957318E7,3.7083394E7,3.78583373113E7,60000,35489
28,3.7957312E7,3.7767982E7,3.7859177175E7,60000,36096
29,3.7957317E7,3.40922354E7,3.785913032624E7,60000,35963
30,3.7957322E7,3.41435608E7,3.785729389778E7,60000,36700
