exec,step,bestf,worstf,avgf
18,0,3.7957221E7,3.40398025E7,3.6796141111879975E7
18,1,3.7957221E7,3.40485938E7,3.679646730652998E7
18,2,3.7957221E7,3.40488331E7,3.679681350994998E7
18,3,3.7957221E7,3.40531232E7,3.6797176601639986E7
18,4,3.7957221E7,3.40573481E7,3.6797539085019976E7
18,5,3.7957221E7,3.40631663E7,3.679786346350998E7
18,6,3.7957221E7,3.40638291E7,3.679820076817998E7
18,7,3.7957221E7,3.40646922E7,3.6798566482069984E7
18,8,3.7957221E7,3.40647179E7,3.679888114234998E7
18,9,3.7957221E7,3.40649224E7,3.6799258829659976E7
18,10,3.7957221E7,3.40674656E7,3.6799265519469984E7
18,11,3.7957221E7,3.40699187E7,3.679964128970998E7
18,12,3.7957221E7,3.40713904E7,3.679992995193998E7
18,13,3.7957221E7,3.40719025E7,3.6800187140699975E7
18,14,3.7957221E7,3.40729003E7,3.6800193642109975E7
18,15,3.7957221E7,3.40730855E7,3.680054427487998E7
18,16,3.7957221E7,3.40739107E7,3.680090160032997E7
18,17,3.7957221E7,3.4074011E7,3.6801217706859976E7
18,18,3.7957221E7,3.40742944E7,3.680151777255997E7
18,19,3.7957221E7,3.40752312E7,3.680184588841997E7
18,20,3.7957221E7,3.40756159E7,3.680220757959997E7
18,21,3.7957221E7,3.40763683E7,3.680221113565997E7
18,22,3.7957221E7,3.4076892E7,3.680257188222997E7
18,23,3.7957221E7,3.40778013E7,3.680257748054997E7
18,24,3.7957221E7,3.40779119E7,3.680258464146997E7
18,25,3.7957221E7,3.40789763E7,3.680291164507998E7
18,26,3.7957221E7,3.40797785E7,3.680328588174997E7
18,27,3.7957221E7,3.40803566E7,3.680364605379997E7
18,28,3.7957221E7,3.40803936E7,3.680364973685997E7
18,29,3.7957221E7,3.40809399E7,3.680393704989997E7
18,30,3.7957221E7,3.40812458E7,3.6804296758209966E7
18,31,3.7957221E7,3.4081863E7,3.680465623282997E7
18,32,3.7957221E7,3.40818934E7,3.680497133432998E7
18,33,3.7957221E7,3.40820241E7,3.680531295458997E7
18,34,3.7957221E7,3.40833619E7,3.6805690542379975E7
18,35,3.7957221E7,3.40836099E7,3.680569547605997E7
18,36,3.7957221E7,3.40836393E7,3.680570201223997E7
18,37,3.7957221E7,3.40846277E7,3.680570691125997E7
18,38,3.7957221E7,3.40855606E7,3.680593966458997E7
18,39,3.7957221E7,3.40857087E7,3.680621842412998E7
18,40,3.7957221E7,3.40864929E7,3.680652056145997E7
18,41,3.7957221E7,3.40867593E7,3.680688212876998E7
18,42,3.7957221E7,3.40873143E7,3.680710147193998E7
18,43,3.7957221E7,3.40875852E7,3.6807106670589976E7
18,44,3.7957221E7,3.40878703E7,3.6807448948969975E7
18,45,3.7957221E7,3.40883974E7,3.6807740480839975E7
18,46,3.7957221E7,3.40888621E7,3.680804680629998E7
18,47,3.7957221E7,3.40890071E7,3.680841742518998E7
18,48,3.7957221E7,3.40892544E7,3.680877735867998E7
18,49,3.7957221E7,3.40892767E7,3.680905594993998E7
18,50,3.7957221E7,3.40897434E7,3.680906206295998E7
18,51,3.7957221E7,3.40898023E7,3.680944051341998E7
18,52,3.7957221E7,3.40899127E7,3.680970160328998E7
18,53,3.7957221E7,3.40905108E7,3.680999414291998E7
18,54,3.7957221E7,3.4090791E7,3.680999820150998E7
18,55,3.7957221E7,3.40907938E7,3.681035189720998E7
18,56,3.7957221E7,3.4090853E7,3.681066658992998E7
18,57,3.7957221E7,3.40910077E7,3.681101676072998E7
18,58,3.7957221E7,3.4091216E7,3.681102216745998E7
18,59,3.7957221E7,3.40913732E7,3.6811344712559976E7
18,60,3.7957221E7,3.40913833E7,3.681165431263998E7
18,61,3.7957221E7,3.40913976E7,3.681203818510998E7
18,62,3.7957221E7,3.4091515E7,3.681236547014998E7
18,63,3.7957221E7,3.40920949E7,3.681270496814998E7
18,64,3.7957221E7,3.40923737E7,3.681301838395998E7
18,65,3.7957221E7,3.40926296E7,3.681333872978997E7
18,66,3.7957221E7,3.40926373E7,3.681371944922998E7
18,67,3.7957221E7,3.40926574E7,3.6814065260399975E7
18,68,3.7957221E7,3.40927595E7,3.681441876095998E7
18,69,3.7957221E7,3.40928061E7,3.681471787210999E7
18,70,3.7957221E7,3.40930468E7,3.681502001909998E7
18,71,3.7957221E7,3.40931351E7,3.6815283519119985E7
18,72,3.7957221E7,3.40933163E7,3.681558207460999E7
18,73,3.7957221E7,3.40935496E7,3.681593468007999E7
18,74,3.7957221E7,3.40936277E7,3.681628532431998E7
18,75,3.7957221E7,3.40937005E7,3.681659997684998E7
18,76,3.7957221E7,3.40938299E7,3.6816972600299984E7
18,77,3.7957221E7,3.40941013E7,3.681734347540998E7
18,78,3.7957221E7,3.40943292E7,3.681766313587998E7
18,79,3.7957221E7,3.40943808E7,3.681802292345998E7
18,80,3.7957221E7,3.40945747E7,3.681837485857998E7
18,81,3.7957221E7,3.4094577E7,3.681838127606998E7
18,82,3.7957221E7,3.4094718E7,3.681838210811998E7
18,83,3.7957221E7,3.40950007E7,3.6818750504419975E7
18,84,3.7957221E7,3.40958083E7,3.681913590964998E7
18,85,3.7957221E7,3.40958439E7,3.6819502132219985E7
18,86,3.7957221E7,3.40959874E7,3.681987886922999E7
18,87,3.7957221E7,3.40961335E7,3.681988376300999E7
18,88,3.7957221E7,3.4096513E7,3.682026775555999E7
18,89,3.7957221E7,3.40972134E7,3.682064328165998E7
18,90,3.7957221E7,3.40972932E7,3.682099428701998E7
18,91,3.7957221E7,3.40973037E7,3.6821285891199976E7
18,92,3.7957221E7,3.40975051E7,3.6821602770429984E7
18,93,3.7957221E7,3.40975171E7,3.6821904584119976E7
18,94,3.7957221E7,3.40975891E7,3.682226268180998E7
18,95,3.7957221E7,3.40976127E7,3.682254534519997E7
18,96,3.7957221E7,3.40976552E7,3.682289332962998E7
18,97,3.7957221E7,3.40976775E7,3.682327092650998E7
18,98,3.7957221E7,3.40977052E7,3.682364315065997E7
18,99,3.7957221E7,3.40978221E7,3.682394659903998E7
18,100,3.7957221E7,3.40981566E7,3.682432118782998E7
18,101,3.7957221E7,3.40983324E7,3.6824706924869984E7
18,102,3.7957221E7,3.4098411E7,3.682501712972998E7
18,103,3.7957221E7,3.4098593E7,3.682536417772998E7
18,104,3.7957221E7,3.40986844E7,3.682570783022998E7
18,105,3.7957221E7,3.40988585E7,3.682605620428998E7
18,106,3.7957221E7,3.40990915E7,3.6826346862039976E7
18,107,3.7957221E7,3.40991193E7,3.682672660768998E7
