exec,step,bestf,worstf,avgf
9,0,3.7956395E7,3.40514005E7,3.677525819417999E7
9,1,3.7956395E7,3.40544047E7,3.677526545613999E7
9,2,3.7956395E7,3.40561318E7,3.677564403936999E7
9,3,3.7956395E7,3.40566472E7,3.677565239521E7
9,4,3.7956395E7,3.4056813E7,3.677602007478999E7
9,5,3.7956395E7,3.40590592E7,3.677640329288999E7
9,6,3.7956395E7,3.40621425E7,3.677675435356999E7
9,7,3.7956395E7,3.40623413E7,3.677709793081999E7
9,8,3.7956395E7,3.4062851E7,3.677742417238999E7
9,9,3.7956395E7,3.40642292E7,3.677779972448999E7
9,10,3.7956395E7,3.406674E7,3.677812910586999E7
9,11,3.7956395E7,3.40669453E7,3.677813816747999E7
9,12,3.7956395E7,3.40682655E7,3.677846979095E7
9,13,3.7956395E7,3.4068311E7,3.67788098815E7
9,14,3.7956395E7,3.40709337E7,3.67791147504E7
9,15,3.7956395E7,3.40713154E7,3.677944119943E7
9,16,3.7956395E7,3.40717574E7,3.677944886576E7
9,17,3.7956395E7,3.40726259E7,3.677945374091E7
9,18,3.7956395E7,3.40735766E7,3.677977343442E7
9,19,3.7956395E7,3.40737792E7,3.6780129485759996E7
9,20,3.7956395E7,3.40740451E7,3.678046687153999E7
9,21,3.7956395E7,3.40743712E7,3.678047414864999E7
9,22,3.7956395E7,3.40746027E7,3.678079974702999E7
9,23,3.7956395E7,3.40751073E7,3.678115902565999E7
9,24,3.7956395E7,3.40752334E7,3.678148831192999E7
9,25,3.7956395E7,3.40758943E7,3.678185548148999E7
9,26,3.7956395E7,3.40771123E7,3.678221896876E7
9,27,3.7956395E7,3.40773547E7,3.678251808122999E7
9,28,3.7956395E7,3.40787949E7,3.67825254934E7
9,29,3.7956395E7,3.40790882E7,3.6782842072909996E7
9,30,3.7956395E7,3.40805141E7,3.678320184438999E7
9,31,3.7956395E7,3.40815034E7,3.6783209180819996E7
9,32,3.7956395E7,3.40832754E7,3.6783591970079996E7
9,33,3.7956395E7,3.40841457E7,3.678391979203999E7
9,34,3.7956395E7,3.40845245E7,3.678429481117E7
9,35,3.7956395E7,3.40850883E7,3.678463713091999E7
9,36,3.7956395E7,3.40854261E7,3.678499732549E7
9,37,3.7956395E7,3.40854744E7,3.678533167967999E7
9,38,3.7956395E7,3.40856819E7,3.678565279023999E7
9,39,3.7956395E7,3.40860378E7,3.678565739853999E7
9,40,3.7956395E7,3.40861817E7,3.678566468790999E7
9,41,3.7956395E7,3.40866766E7,3.678602370163999E7
9,42,3.7956395E7,3.40873426E7,3.678635732027999E7
9,43,3.7956395E7,3.40876601E7,3.678664200511999E7
9,44,3.7956395E7,3.40877192E7,3.6786971099609986E7
9,45,3.7956395E7,3.40879325E7,3.678727872348999E7
9,46,3.7956395E7,3.40880376E7,3.678764250003999E7
9,47,3.7956395E7,3.40885139E7,3.6787959797979996E7
9,48,3.7956395E7,3.40888988E7,3.678831627778999E7
9,49,3.7956395E7,3.40890548E7,3.678832192002999E7
9,50,3.7956395E7,3.40895603E7,3.678862136394999E7
9,51,3.7956395E7,3.40896718E7,3.678862299649999E7
9,52,3.7956395E7,3.40899491E7,3.6788624481769994E7
9,53,3.7956395E7,3.4090006E7,3.678899501406E7
9,54,3.7956395E7,3.40907669E7,3.6789313428459994E7
9,55,3.7956395E7,3.40908596E7,3.678931868572E7
9,56,3.7956395E7,3.40915776E7,3.678965205516E7
9,57,3.7956395E7,3.40915919E7,3.678999499809999E7
9,58,3.7956395E7,3.4091851E7,3.679036151441E7
9,59,3.7956395E7,3.40920251E7,3.6790719630109996E7
9,60,3.7956395E7,3.409224E7,3.6791043405099995E7
9,61,3.7956395E7,3.40922864E7,3.679141764819999E7
9,62,3.7956395E7,3.40927172E7,3.679172935966E7
9,63,3.7956395E7,3.40931352E7,3.679207130314E7
9,64,3.7956395E7,3.40933294E7,3.6792374624819994E7
9,65,3.7956395E7,3.40933922E7,3.679267175358E7
9,66,3.7956395E7,3.40934957E7,3.679300962335999E7
9,67,3.7956395E7,3.40935302E7,3.679333141079E7
9,68,3.7956395E7,3.40936425E7,3.679364907696999E7
9,69,3.7956395E7,3.40937819E7,3.679365157642999E7
9,70,3.7956395E7,3.4093842E7,3.679398947203999E7
9,71,3.7956395E7,3.40938484E7,3.679434589393999E7
9,72,3.7956395E7,3.40942899E7,3.679469936719999E7
9,73,3.7956395E7,3.40943934E7,3.679503450180999E7
9,74,3.7956395E7,3.40944246E7,3.679533094236999E7
9,75,3.7956395E7,3.40947149E7,3.679533391173998E7
9,76,3.7956395E7,3.40947176E7,3.6795630733749986E7
9,77,3.7956395E7,3.40950663E7,3.679594693888999E7
9,78,3.7956395E7,3.40951642E7,3.6796293027959995E7
9,79,3.7956395E7,3.40952366E7,3.679662929733999E7
9,80,3.7956395E7,3.40954343E7,3.679700347377999E7
9,81,3.7956395E7,3.40954813E7,3.679731923594999E7
9,82,3.7956395E7,3.40956097E7,3.679732359342999E7
9,83,3.7956395E7,3.40958484E7,3.679768692566E7
9,84,3.7956395E7,3.4095872E7,3.6797986246819995E7
9,85,3.7956395E7,3.40959168E7,3.679833152242E7
9,86,3.7956395E7,3.40960273E7,3.6798714153639995E7
9,87,3.7956395E7,3.40960324E7,3.679872046823999E7
9,88,3.7956395E7,3.40963121E7,3.67990634865E7
9,89,3.7956395E7,3.40964923E7,3.679940018878999E7
9,90,3.7956395E7,3.40966996E7,3.679940666854999E7
9,91,3.7956395E7,3.40967288E7,3.679975254469E7
