exec,step,bestf,worstf,avgf
7,0,3674.0,2768.0,3302.8530000000005
7,1,3674.0,2799.0,3308.1430000000005
7,2,3674.0,2881.0,3311.5230000000006
7,3,3674.0,2983.0,3316.2430000000004
7,4,3674.0,3007.0,3319.1420000000003
7,5,3674.0,3060.0,3322.5820000000003
7,6,3674.0,3070.0,3325.802
7,7,3674.0,3077.0,3327.69
7,8,3674.0,3111.0,3330.008
7,9,3674.0,3114.0,3331.583
7,10,3674.0,3115.0,3332.183
7,11,3674.0,3121.0,3333.401
7,12,3674.0,3137.0,3334.075
7,13,3674.0,3174.0,3335.7309999999998
7,14,3674.0,3188.0,3336.9199999999996
7,15,3674.0,3188.4,3339.8399999999992
7,16,3674.0,3201.0,3340.7779999999993
7,17,3674.0,3204.1,3341.7449999999994
7,18,3674.0,3213.8,3345.2139999999995
7,19,3674.0,3224.8,3345.4349999999995
7,20,3674.0,3225.4,3346.0489999999995
7,21,3674.0,3227.0,3346.667
7,22,3674.0,2979.0,3344.187
7,23,3674.0,3228.0,3347.152
7,24,3674.0,3228.3,3347.9559999999997
7,25,3674.0,3230.4,3349.933
7,26,3674.0,3232.2,3350.0209999999997
7,27,3674.0,3232.3,3350.6890000000003
7,28,3674.0,3234.0,3353.7059999999997
7,29,3674.0,3234.0,3356.736
7,30,3674.0,3234.0,3357.0959999999995
7,31,3674.0,3235.9,3357.4809999999998
7,32,3674.0,3236.2,3360.472
7,33,3674.0,3236.8,3361.087
7,34,3674.0,3239.2,3365.4190000000003
7,35,3674.0,3241.8,3365.9840000000004
7,36,3674.0,3244.1,3369.3660000000004
7,37,3674.0,3224.5,3369.1700000000005
7,38,3674.0,3108.0,3368.0050000000006
7,39,3674.0,3246.7,3369.9780000000005
7,40,3674.0,3252.1,3372.9310000000005
7,41,3674.0,3255.4,3373.2780000000002
7,42,3674.0,3227.2,3372.9960000000005
7,43,3674.0,3258.8,3373.379000000001
7,44,3674.0,3261.4,3374.2210000000005
7,45,3674.0,3263.8,3374.5900000000006
7,46,3674.0,3241.5,3374.367
7,47,3674.0,3263.9,3378.322
7,48,3674.0,3257.6,3378.2589999999996
7,49,3674.0,3265.5,3378.741
7,50,3674.0,3260.8,3378.6940000000004
7,51,3674.0,3265.9,3381.696
7,52,3674.0,3266.6,3381.7619999999997
7,53,3674.0,3268.3,3381.961
7,54,3674.0,3268.5,3382.3019999999997
7,55,3674.0,3270.0,3382.678
7,56,3674.0,3272.5,3382.8459999999995
7,57,3674.0,3236.6,3382.4869999999996
7,58,3674.0,3250.8,3382.6289999999995
7,59,3674.0,3258.2,3382.703
7,60,3674.0,3272.5,3386.151
7,61,3674.0,3272.8,3388.466
7,62,3674.0,3249.2,3388.23
7,63,3674.0,3272.9,3388.7239999999997
7,64,3674.0,3273.3,3388.8249999999994
7,65,3674.0,3275.5,3388.9949999999994
7,66,3674.0,3229.7,3388.5369999999994
7,67,3674.0,3247.3,3388.7129999999993
7,68,3674.0,3275.9,3389.0069999999996
7,69,3674.0,3276.4,3389.2619999999997
7,70,3674.0,3276.5,3389.5349999999994
7,71,3674.0,3212.0,3388.8899999999994
7,72,3674.0,3276.7,3389.7069999999994
7,73,3674.0,3277.8,3389.8469999999998
7,74,3674.0,3238.6,3389.4549999999995
7,75,3674.0,3279.1,3389.923
7,76,3674.0,3279.4,3391.8920000000003
7,77,3674.0,3269.0,3391.788
7,78,3674.0,3279.7,3393.118
7,79,3674.0,3280.3,3393.26
7,80,3674.0,3282.2,3394.407
7,81,3674.0,3282.3,3396.2150000000006
7,82,3674.0,3210.6,3395.4980000000005
7,83,3674.0,3269.5,3396.087
7,84,3674.0,3268.2,3396.074000000001
7,85,3674.0,3283.0,3400.072
7,86,3674.0,3284.3,3403.0320000000006
7,87,3674.0,3251.6,3402.7050000000004
7,88,3674.0,3284.2,3403.0310000000004
7,89,3674.0,3284.9,3403.3390000000004
7,90,3674.0,3285.1,3403.416
7,91,3674.0,3202.6,3402.5910000000003
7,92,3674.0,3274.4,3403.309
7,93,3674.0,3000.0,3400.5650000000005
7,94,3674.0,3285.4,3405.8150000000005
