step,bestf
0,300125.0
1,300125.0
2,300125.0
3,300125.0
4,300125.0
5,300125.0
6,300125.0
7,300125.0
8,300125.0
9,300125.0
10,300125.0
11,300125.0
12,300125.0
13,300125.0
14,300125.0
15,300125.0
16,300125.0
17,300125.0
18,300125.0
19,300125.0
20,300125.0
21,300125.0
22,300125.0
23,300125.0
24,300125.0
25,300125.0
26,300125.0
27,300125.0
28,300125.0
29,300125.0
30,300125.0
31,300125.0
32,300125.0
33,300125.0
34,300125.0
35,300125.0
36,300125.0
37,300125.0
38,300125.0
39,300125.0
40,300125.0
41,300125.0
42,300125.0
43,300125.0
44,300125.0
45,300125.0
46,300125.0
47,300125.0
48,300125.0
49,300125.0
50,300125.0
51,300125.0
52,300125.0
53,300125.0
54,300125.0
55,300125.0
56,300125.0
57,300125.0
58,300125.0
59,300125.0
60,300125.0
61,300125.0
62,300125.0
63,300125.0
64,300125.0
65,300125.0
66,300125.0
67,300125.0
68,300125.0
69,300125.0
70,300125.0
71,300125.0
72,300125.0
73,300125.0
74,300125.0
75,300125.0
76,300125.0
77,300125.0
78,300125.0
79,300125.0
80,300125.0
81,300125.0
82,300125.0
83,300125.0
84,300125.0
85,300125.0
86,300125.0
87,300125.0
88,300125.0
89,300125.0
90,300125.0
91,300125.0
92,300125.0
93,300214.0
94,300214.0
95,300214.0
96,300214.0
97,300214.0
98,300214.0
99,300214.0
100,300214.0
101,300214.0
102,300214.0
103,300214.0
104,300214.0
105,300214.0
106,300214.0
107,300214.0
108,300214.0
109,300214.0
110,300214.0
111,300214.0
112,300214.0
113,300214.0
114,300214.0
115,300214.0
116,300214.0
117,300214.0
118,300214.0
119,300214.0
120,300214.0
121,300214.0
122,300214.0
123,300214.0
124,300214.0
125,300214.0
126,300214.0
127,300214.0
128,300214.0
129,300214.0
130,300214.0
131,300214.0
132,300214.0
133,300214.0
134,300214.0
135,300214.0
136,300214.0
137,300214.0
138,300214.0
139,300214.0
140,300214.0
141,300214.0
142,300214.0
143,300214.0
144,300214.0
145,300214.0
146,300214.0
147,300214.0
148,300214.0
149,300214.0
150,300214.0
151,300214.0
152,300214.0
153,300214.0
154,300214.0
155,300214.0
156,300214.0
157,300214.0
158,300214.0
159,300214.0
160,300214.0
161,300214.0
162,300214.0
163,300214.0
164,300214.0
165,300214.0
166,300214.0
167,300214.0
168,300214.0
169,300214.0
170,300214.0
171,300214.0
172,300214.0
173,300214.0
174,300214.0
175,300214.0
176,300214.0
177,300214.0
178,300214.0
179,300214.0
180,300214.0
181,300214.0
182,300214.0
183,300214.0
184,300214.0
185,300214.0
186,300214.0
187,300214.0
188,300214.0
189,300214.0
190,300214.0
191,300214.0
192,300214.0
193,300214.0
194,300214.0
195,300214.0
196,300214.0
197,300214.0
198,300214.0
199,300214.0
200,300214.0
201,300214.0
202,300214.0
203,300214.0
204,300214.0
205,300214.0
206,300214.0
207,300214.0
208,300214.0
209,300214.0
210,300214.0
211,300214.0
212,300214.0
213,300214.0
214,300214.0
215,300214.0
216,300214.0
217,300214.0
218,300214.0
219,300214.0
220,300214.0
221,300214.0
222,300214.0
223,300214.0
224,300214.0
225,300214.0
226,300214.0
227,300214.0
228,300214.0
229,300214.0
230,300214.0
231,300214.0
232,300214.0
233,300214.0
234,300214.0
235,300377.0
236,300377.0
237,300377.0
238,300377.0
239,300377.0
240,300377.0
241,300377.0
242,300377.0
243,300377.0
244,300377.0
245,300377.0
246,300377.0
247,300377.0
248,300377.0
249,300377.0
250,300377.0
251,300377.0
252,300377.0
253,300377.0
254,300377.0
255,300377.0
256,300377.0
257,300377.0
258,300377.0
259,300377.0
260,300377.0
261,300377.0
262,300377.0
263,300377.0
264,300377.0
265,300377.0
266,300377.0
267,300377.0
268,300377.0
269,300377.0
270,300377.0
271,300377.0
272,300377.0
273,300377.0
274,300377.0
275,300377.0
276,300377.0
277,300377.0
278,300377.0
279,300377.0
280,300377.0
281,300377.0
282,300377.0
283,300377.0
284,300377.0
285,300377.0
286,300377.0
287,300377.0
288,300377.0
289,300377.0
290,300377.0
291,300377.0
292,300377.0
293,300377.0
294,300377.0
295,300377.0
296,300377.0
297,300377.0
298,300377.0
299,300377.0
300,300377.0
301,300377.0
302,300377.0
303,300377.0
304,300377.0
305,300377.0
306,300377.0
307,300377.0
308,300377.0
309,300377.0
310,300377.0
311,300377.0
312,300377.0
313,300377.0
314,300377.0
315,300377.0
316,300377.0
317,300377.0
318,300377.0
319,300377.0
320,300377.0
321,300377.0
322,300377.0
323,300377.0
324,300377.0
325,300377.0
326,300377.0
327,300377.0
328,300377.0
329,300377.0
330,300377.0
331,300377.0
332,300377.0
333,300377.0
334,300377.0
335,300377.0
336,300377.0
337,300377.0
338,300377.0
339,300377.0
340,300377.0
341,300377.0
342,300377.0
343,300377.0
344,300377.0
345,300377.0
346,300377.0
347,300377.0
348,300377.0
349,300377.0
350,300377.0
351,300377.0
352,300377.0
353,300377.0
354,300377.0
355,300377.0
356,300377.0
357,300377.0
358,300377.0
359,300377.0
360,300377.0
361,300377.0
362,300377.0
363,300377.0
364,300377.0
365,300377.0
366,300377.0
367,300377.0
368,300377.0
369,300377.0
370,300377.0
371,300377.0
372,300377.0
373,300377.0
374,300377.0
375,300377.0
376,300377.0
377,300377.0
378,300377.0
379,300377.0
380,300377.0
381,300377.0
382,300377.0
383,300377.0
384,300377.0
385,300377.0
386,300377.0
387,300377.0
388,300377.0
389,300377.0
390,300377.0
391,300377.0
392,300377.0
393,300377.0
394,300377.0
395,300377.0
396,300377.0
397,300377.0
398,300377.0
399,300377.0
400,300377.0
401,300377.0
402,300377.0
403,300377.0
404,300377.0
405,300377.0
406,300377.0
407,300377.0
408,300377.0
409,300377.0
410,300377.0
411,300377.0
412,300377.0
413,300377.0
414,300377.0
415,300377.0
416,300377.0
417,300377.0
418,300377.0
419,300377.0
420,300377.0
421,300377.0
422,300377.0
423,300377.0
424,300377.0
425,300377.0
426,300377.0
427,300377.0
428,300377.0
429,300377.0
430,300377.0
431,300377.0
432,300377.0
433,300377.0
434,300377.0
435,300377.0
436,300377.0
437,300377.0
438,300377.0
439,300377.0
440,300377.0
441,300377.0
442,300377.0
443,300377.0
444,300377.0
445,300377.0
446,300377.0
447,300377.0
448,300377.0
449,300377.0
450,300377.0
451,300377.0
452,300377.0
453,300377.0
454,300377.0
455,300377.0
456,300377.0
457,300377.0
458,300377.0
459,300377.0
460,300377.0
461,300377.0
462,300377.0
463,300377.0
464,300377.0
465,300377.0
466,300377.0
467,300377.0
468,300377.0
469,300377.0
470,300377.0
471,300377.0
472,300377.0
473,300377.0
474,300377.0
475,300377.0
476,300377.0
477,300377.0
478,300377.0
479,300377.0
480,300377.0
481,300377.0
482,300377.0
483,300377.0
484,300377.0
485,300377.0
486,300377.0
487,300377.0
488,300377.0
489,300377.0
490,300377.0
491,300377.0
492,300377.0
493,300377.0
494,300377.0
495,300377.0
496,300377.0
497,300377.0
498,300377.0
499,300377.0
500,300377.0
501,300377.0
502,300377.0
503,300377.0
504,300377.0
505,300377.0
506,300377.0
507,300377.0
508,300377.0
509,300377.0
510,300377.0
511,300377.0
512,300377.0
513,300377.0
514,300377.0
515,300377.0
516,300377.0
517,300377.0
518,300377.0
519,300377.0
520,300377.0
521,300377.0
522,300377.0
523,300377.0
524,300377.0
525,300377.0
526,300377.0
527,300377.0
528,300377.0
529,300377.0
530,300377.0
531,300377.0
532,300377.0
533,300377.0
534,300377.0
535,300377.0
536,300377.0
537,300377.0
538,300377.0
539,300377.0
540,300377.0
541,300377.0
542,300377.0
543,300377.0
544,300377.0
545,300377.0
546,300377.0
547,300377.0
548,300377.0
549,300377.0
550,300377.0
551,300377.0
552,300377.0
553,300377.0
554,300377.0
555,300377.0
