exec,bestf,worstf,avgf,endstep,duration
1,3677.0,3604.0,3641.21,1350,59
2,3677.0,3539.0,3605.59,871,12
3,3677.0,3610.0,3644.12,1572,12
4,3677.0,3383.0,3540.84,458,3
5,3677.0,3615.0,3648.66,1804,13
6,3677.0,2785.0,3300.1909999999993,101,1
7,3677.0,3507.0,3589.27,702,5
8,3677.0,3612.0,3643.91,1564,10
9,3677.0,3507.0,3597.27,692,5
10,3677.0,3334.0,3516.1,343,3
11,3677.0,3594.0,3636.09,1076,8
12,3677.0,3590.0,3627.78,1417,8
13,3677.0,3483.0,3583.29,606,5
14,3677.0,2768.0,3325.5170000000003,101,1
15,3677.0,3273.9,3408.3900000000012,168,2
16,3677.0,3611.0,3644.53,1438,8
17,3677.0,3630.0,3653.31,2116,14
18,3677.0,3598.0,3636.28,1317,8
19,3677.0,3006.0,3320.385,104,1
20,3677.0,3364.0,3535.98,415,3
21,3677.0,3548.0,3617.76,759,5
22,3677.0,3356.0,3520.27,404,2
23,3677.0,3618.0,3645.53,1718,9
24,3677.0,3452.0,3575.55,504,3
25,3677.0,3556.0,3620.45,822,5
26,3677.0,3514.0,3599.57,680,5
27,3677.0,3595.0,3633.7,1212,5
28,3677.0,3609.0,3644.24,1742,8
29,3677.0,3283.9,3409.1840000000007,205,2
30,3677.0,3647.0,3660.25,3073,13
