exec,bestf,worstf,avgf,endstep,duration
1,3677.0,2606.0,3318.1610000000005,101,20
2,3677.0,2886.0,3331.7440000000006,101,3
3,3677.0,3554.0,3613.61,1006,39
4,3677.0,3654.0,3666.1,3511,85
5,3677.0,3304.4,3499.812,287,4
6,3677.0,3637.0,3656.92,2211,34
7,3677.0,3578.0,3627.35,958,13
8,3677.0,3505.0,3593.68,598,8
9,3677.0,3306.3,3502.6219999999994,290,3
10,3677.0,3556.0,3613.67,794,9
11,3677.0,3629.0,3654.59,1800,20
12,3677.0,3568.0,3621.62,904,13
13,3677.0,3303.1,3467.276,359,5
14,3677.0,3443.0,3570.84,456,5
15,3677.0,3331.0,3524.58,413,5
16,3677.0,3579.0,3625.85,1018,14
17,3677.0,3520.0,3592.76,648,7
18,3677.0,3649.0,3662.75,3394,38
19,3677.0,2699.0,3295.7270000000008,101,1
20,3677.0,3569.0,3623.65,975,9
21,3677.0,3527.0,3600.66,679,5
22,3677.0,3590.0,3632.75,1070,10
23,3677.0,3600.0,3638.65,1430,11
24,3677.0,3548.0,3605.86,837,10
25,3677.0,3497.0,3586.08,537,5
26,3677.0,3604.0,3643.31,1323,13
27,3677.0,3540.0,3607.62,938,7
28,3677.0,3613.0,3643.27,1474,13
29,3677.0,3545.0,3616.07,759,6
30,3677.0,3605.0,3638.45,1265,13
