exec,bestf,worstf,avgf,endstep,duration
1,3.7957314E7,3.7563938E7,3.78306178659E7,60000,40238
2,3.7957272E7,3.6809875E7,3.78306126482E7,60000,37118
3,3.7957314E7,3.7279841E7,3.78311794608E7,60000,39009
4,3.7957306E7,3.713923E7,3.78299747019E7,60000,35906
5,3.79573E7,3.7725334E7,3.78314328105E7,60000,36388
6,3.7957322E7,3.7281213E7,3.78325569527E7,60000,36718
7,3.7957323E7,3.755564E7,3.78293170242E7,60000,36348
8,3.7957297E7,3.7384985E7,3.78329553093E7,60000,37224
9,3.795731E7,3.7725601E7,3.78315455528E7,60000,37114
10,3.7957298E7,3.7723887E7,3.78310946638E7,60000,36314
11,3.7957313E7,3.695844E7,3.78311238312E7,60000,36778
12,3.7957323E7,3.7621175E7,3.78312973439E7,60000,36623
13,3.7957314E7,3.6964613E7,3.7831116005E7,60000,36379
14,3.7957325E7,3.7659245E7,3.7795178963E7,41980,23839
15,3.7957322E7,3.41378175E7,3.782973942335E7,60000,36882
16,3.7957285E7,3.7017698E7,3.78320163365E7,60000,36156
17,3.7957318E7,3.41607499E7,3.7830046685090005E7,60000,36306
18,3.7957291E7,3.7101987E7,3.78302043233E7,60000,36322
19,3.7957314E7,3.6947981E7,3.78329559299E7,60000,38240
20,3.7957289E7,3.7556085E7,3.78306190294E7,60000,36398
21,3.7957316E7,3.7566599E7,3.7831383397E7,60000,36519
22,3.7957278E7,3.7126258E7,3.78310539063E7,60000,36260
23,3.7957321E7,3.7255822E7,3.78311671491E7,60000,36227
24,3.7957212E7,3.7248211E7,3.78311380055E7,60000,36659
25,3.79573E7,3.6817768E7,3.78309415257E7,60000,36366
26,3.7957307E7,3.7509126E7,3.78319846502E7,60000,36570
27,3.7957281E7,3.7486495E7,3.78300448357E7,60000,36949
28,3.7957311E7,3.7157546E7,3.78318721956E7,60000,36630
29,3.7957325E7,3.40413164E7,3.677367020176005E7,10001,2034
30,3.7957278E7,3.768089E7,3.78305044557E7,60000,36488
