exec,bestf,worstf,avgf,endstep,duration
1,366096.0,328727.4,365604.51039999997,51000,3984
2,366097.0,365071.0,365583.454,50211,3477
3,366097.0,362671.0,364406.155,15544,1036
4,366097.0,353448.0,360903.612,5984,368
5,366097.0,364851.0,365498.394,38327,2996
6,366095.0,325639.8,365581.2828,51000,3589
7,366097.0,364542.0,365343.033,32508,2278
8,366097.0,363456.0,364842.832,18570,1289
9,366097.0,324358.5,334320.7188999999,1001,22
10,366097.0,360291.0,363403.832,9499,698
11,366097.0,362206.0,364242.922,13224,1035
12,366094.0,328507.9,365553.6309,51000,3772
13,366097.0,329102.2,349383.7283000001,3445,206
14,366097.0,363586.0,364862.046,20003,1454
15,366097.0,357562.0,362279.308,7446,483
16,366097.0,324630.5,333798.2518999997,1001,21
17,366096.0,328348.0,365568.946,51000,3573
18,366097.0,324421.7,334277.15630000003,1001,22
19,366097.0,363591.0,364856.255,20725,1413
20,366094.0,328491.0,365621.85,51000,3803
21,366097.0,364907.0,365496.379,41182,2851
22,366096.0,358593.0,365622.483,51000,3990
23,366097.0,352356.0,360606.394,5372,333
24,366096.0,329482.2,365582.7282,51000,3532
25,366096.0,327177.6,365608.1866,51000,3735
26,366097.0,345823.0,359238.541,5075,296
27,366094.0,329179.1,365587.8151,51000,3495
28,366097.0,363278.0,364731.221,18634,1221
29,366097.0,361594.0,363913.582,11794,755
30,366097.0,364698.0,365397.204,36296,2610
