exec,step,fitness
23,0,299982.0
23,1,299982.0
23,2,299982.0
23,3,299982.0
23,4,299982.0
23,5,299982.0
23,6,299982.0
23,7,299982.0
23,8,299982.0
23,9,299982.0
23,10,299982.0
23,11,299982.0
23,12,299982.0
23,13,299982.0
23,14,299982.0
23,15,299982.0
23,16,299982.0
23,17,299982.0
23,18,299982.0
23,19,299982.0
23,20,299982.0
23,21,299982.0
23,22,299982.0
23,23,299982.0
23,24,299982.0
23,25,299982.0
23,26,299982.0
23,27,299982.0
23,28,299982.0
23,29,299982.0
23,30,299982.0
23,31,299982.0
23,32,299982.0
23,33,299982.0
23,34,299982.0
23,35,299982.0
23,36,299982.0
23,37,299982.0
23,38,299982.0
23,39,299982.0
23,40,299982.0
23,41,299982.0
23,42,299982.0
23,43,299982.0
23,44,299982.0
23,45,299982.0
23,46,299982.0
23,47,299982.0
23,48,299982.0
23,49,299982.0
23,50,299982.0
23,51,299982.0
23,52,299982.0
23,53,299982.0
23,54,299982.0
23,55,299982.0
23,56,299982.0
23,57,299982.0
23,58,299982.0
23,59,299982.0
23,60,299982.0
23,61,299982.0
23,62,299982.0
23,63,299982.0
23,64,299982.0
23,65,299982.0
23,66,299982.0
23,67,299982.0
23,68,299982.0
23,69,299982.0
23,70,299982.0
23,71,299982.0
23,72,299982.0
23,73,299982.0
23,74,299982.0
23,75,299982.0
23,76,299982.0
23,77,299982.0
23,78,299982.0
23,79,299982.0
23,80,299982.0
23,81,299982.0
23,82,299982.0
23,83,299982.0
23,84,299982.0
23,85,299982.0
23,86,299982.0
23,87,299982.0
23,88,299982.0
23,89,299982.0
23,90,299982.0
23,91,299982.0
23,92,299982.0
23,93,299982.0
23,94,299982.0
23,95,299982.0
23,96,299982.0
23,97,299982.0
23,98,299982.0
23,99,299982.0
23,100,299982.0
23,101,299982.0
23,102,299982.0
23,103,299982.0
23,104,299982.0
23,105,299982.0
23,106,299982.0
23,107,299982.0
23,108,299982.0
23,109,299982.0
23,110,299982.0
23,111,299982.0
23,112,299982.0
23,113,299982.0
23,114,299982.0
23,115,299982.0
23,116,299982.0
23,117,299982.0
23,118,299982.0
23,119,299982.0
23,120,299982.0
23,121,299982.0
23,122,299982.0
23,123,299982.0
23,124,299982.0
23,125,299982.0
23,126,299982.0
23,127,299982.0
23,128,299982.0
23,129,299982.0
23,130,299982.0
23,131,299982.0
23,132,299982.0
23,133,299982.0
23,134,299982.0
23,135,299982.0
23,136,299982.0
23,137,299982.0
23,138,299982.0
23,139,299982.0
23,140,299982.0
23,141,299982.0
23,142,299982.0
23,143,299982.0
23,144,299982.0
23,145,299982.0
23,146,299982.0
23,147,299982.0
23,148,299982.0
23,149,299982.0
23,150,299982.0
23,151,299982.0
23,152,299982.0
23,153,299982.0
23,154,299982.0
23,155,299982.0
23,156,299982.0
23,157,299982.0
23,158,299982.0
23,159,299982.0
23,160,299982.0
23,161,299982.0
23,162,299982.0
23,163,299982.0
23,164,299982.0
23,165,299982.0
23,166,299982.0
23,167,299982.0
23,168,299982.0
23,169,299982.0
23,170,299982.0
23,171,299982.0
23,172,299982.0
23,173,299982.0
23,174,299982.0
23,175,299982.0
23,176,299982.0
23,177,299982.0
23,178,299982.0
23,179,299982.0
23,180,299982.0
23,181,299982.0
23,182,299982.0
23,183,299982.0
23,184,299982.0
23,185,299982.0
23,186,299982.0
23,187,299982.0
23,188,299982.0
23,189,299982.0
23,190,300079.0
23,191,300079.0
23,192,300079.0
23,193,300079.0
23,194,300079.0
23,195,300079.0
23,196,300079.0
23,197,300079.0
23,198,300079.0
23,199,300079.0
23,200,300079.0
23,201,300079.0
23,202,300079.0
23,203,300079.0
23,204,300079.0
23,205,300079.0
23,206,300079.0
23,207,300079.0
23,208,300079.0
23,209,300079.0
23,210,300079.0
23,211,300079.0
23,212,300079.0
23,213,300079.0
23,214,300079.0
23,215,300079.0
23,216,300079.0
23,217,300079.0
23,218,300079.0
23,219,300079.0
23,220,300079.0
23,221,300079.0
23,222,300079.0
23,223,300079.0
23,224,300079.0
23,225,300079.0
23,226,300079.0
23,227,300079.0
23,228,300079.0
23,229,300079.0
23,230,300079.0
23,231,300079.0
23,232,300079.0
23,233,300079.0
23,234,300079.0
23,235,300079.0
23,236,300079.0
23,237,300079.0
23,238,300079.0
23,239,300079.0
23,240,300079.0
23,241,300079.0
23,242,300079.0
23,243,300079.0
23,244,300079.0
23,245,300079.0
23,246,300079.0
23,247,300079.0
23,248,300079.0
23,249,300079.0
23,250,300079.0
23,251,300079.0
23,252,300079.0
23,253,300079.0
23,254,300079.0
23,255,300079.0
23,256,300079.0
23,257,300079.0
23,258,300079.0
23,259,300079.0
23,260,300079.0
23,261,300079.0
23,262,300079.0
23,263,300079.0
23,264,300079.0
23,265,300079.0
23,266,300079.0
23,267,300079.0
23,268,300079.0
23,269,300079.0
23,270,300079.0
23,271,300079.0
23,272,300079.0
23,273,300079.0
23,274,300079.0
23,275,300079.0
23,276,300079.0
23,277,300079.0
23,278,300079.0
23,279,300079.0
23,280,300079.0
23,281,300079.0
23,282,300079.0
23,283,300079.0
23,284,300079.0
23,285,300079.0
23,286,300079.0
23,287,300079.0
23,288,300079.0
23,289,300079.0
23,290,300079.0
23,291,300079.0
23,292,300079.0
23,293,300079.0
23,294,300079.0
23,295,300079.0
23,296,300079.0
23,297,300079.0
23,298,300079.0
23,299,300079.0
23,300,300079.0
23,301,300079.0
23,302,300079.0
23,303,300079.0
23,304,300079.0
23,305,300079.0
23,306,300079.0
23,307,300079.0
23,308,300079.0
23,309,300079.0
23,310,300079.0
23,311,300079.0
23,312,300079.0
23,313,300079.0
23,314,300079.0
23,315,300079.0
23,316,300079.0
23,317,300079.0
23,318,300079.0
23,319,300079.0
23,320,300079.0
23,321,300079.0
23,322,300079.0
23,323,300079.0
23,324,300079.0
23,325,300079.0
23,326,300079.0
23,327,300079.0
23,328,300079.0
23,329,300079.0
23,330,300079.0
23,331,300079.0
23,332,300079.0
23,333,300079.0
23,334,300079.0
23,335,300079.0
23,336,300079.0
23,337,300079.0
23,338,300079.0
23,339,300079.0
23,340,300079.0
23,341,300079.0
23,342,300079.0
23,343,300079.0
23,344,300079.0
23,345,300079.0
23,346,300079.0
23,347,300079.0
23,348,300079.0
23,349,300079.0
23,350,300079.0
23,351,300079.0
23,352,300079.0
23,353,300079.0
23,354,300079.0
23,355,300079.0
23,356,300079.0
23,357,300079.0
23,358,300079.0
23,359,300079.0
23,360,300079.0
23,361,300079.0
23,362,300079.0
23,363,300079.0
23,364,300079.0
23,365,300079.0
23,366,300079.0
23,367,300079.0
23,368,300079.0
23,369,300079.0
23,370,300079.0
23,371,300079.0
23,372,300079.0
23,373,300079.0
23,374,300079.0
23,375,300079.0
23,376,300079.0
23,377,300079.0
23,378,300079.0
23,379,300079.0
23,380,300079.0
23,381,300079.0
23,382,300079.0
23,383,300079.0
23,384,300079.0
23,385,300079.0
23,386,300079.0
23,387,300079.0
23,388,300079.0
23,389,300079.0
23,390,300079.0
23,391,300079.0
23,392,300079.0
23,393,300079.0
23,394,300079.0
23,395,300079.0
23,396,300079.0
23,397,300079.0
23,398,300125.0
23,399,300125.0
23,400,300125.0
23,401,300125.0
23,402,300125.0
23,403,300125.0
23,404,300125.0
23,405,300125.0
23,406,300125.0
23,407,300125.0
23,408,300125.0
23,409,300125.0
23,410,300125.0
23,411,300125.0
23,412,300125.0
23,413,300125.0
23,414,300125.0
23,415,300125.0
23,416,300125.0
23,417,300125.0
23,418,300125.0
23,419,300125.0
23,420,300125.0
23,421,300186.0
23,422,300186.0
23,423,300186.0
23,424,300186.0
23,425,300186.0
23,426,300186.0
23,427,300186.0
23,428,300186.0
23,429,300186.0
23,430,300186.0
23,431,300186.0
23,432,300186.0
23,433,300186.0
23,434,300186.0
23,435,300321.0
23,436,300321.0
23,437,300321.0
23,438,300321.0
23,439,300321.0
23,440,300321.0
23,441,300321.0
23,442,300321.0
23,443,300321.0
23,444,300321.0
23,445,300321.0
23,446,300321.0
23,447,300321.0
23,448,300321.0
23,449,300321.0
23,450,300321.0
23,451,300321.0
23,452,300321.0
23,453,300321.0
23,454,300321.0
23,455,300321.0
23,456,300321.0
23,457,300321.0
23,458,300321.0
23,459,300321.0
23,460,300321.0
23,461,300321.0
23,462,300321.0
23,463,300321.0
23,464,300321.0
23,465,300321.0
23,466,300321.0
23,467,300321.0
23,468,300321.0
23,469,300321.0
23,470,300321.0
23,471,300321.0
23,472,300321.0
23,473,300321.0
23,474,300321.0
23,475,300321.0
23,476,300321.0
23,477,300321.0
23,478,300321.0
23,479,300321.0
23,480,300321.0
23,481,300321.0
23,482,300321.0
23,483,300321.0
23,484,300321.0
23,485,300321.0
23,486,300321.0
23,487,300321.0
23,488,300321.0
23,489,300321.0
23,490,300321.0
23,491,300321.0
23,492,300321.0
23,493,300321.0
23,494,300321.0
23,495,300321.0
23,496,300321.0
23,497,300321.0
23,498,300321.0
23,499,300321.0
23,500,300321.0
23,501,300321.0
23,502,300321.0
23,503,300321.0
23,504,300321.0
23,505,300321.0
23,506,300321.0
23,507,300321.0
23,508,300321.0
23,509,300321.0
23,510,300321.0
23,511,300321.0
23,512,300321.0
23,513,300321.0
23,514,300321.0
23,515,300321.0
23,516,300321.0
23,517,300321.0
23,518,300321.0
23,519,300321.0
23,520,300321.0
23,521,300321.0
23,522,300321.0
23,523,300321.0
23,524,300321.0
23,525,300321.0
23,526,300321.0
23,527,300321.0
23,528,300321.0
23,529,300321.0
23,530,300321.0
23,531,300321.0
23,532,300321.0
23,533,300321.0
23,534,300321.0
23,535,300321.0
23,536,300321.0
23,537,300321.0
23,538,300321.0
23,539,300321.0
23,540,300321.0
23,541,300321.0
23,542,300321.0
23,543,300321.0
23,544,300321.0
23,545,300321.0
23,546,300321.0
23,547,300321.0
23,548,300321.0
23,549,300321.0
23,550,300321.0
23,551,300321.0
23,552,300321.0
23,553,300321.0
23,554,300321.0
23,555,300321.0
23,556,300321.0
23,557,300321.0
23,558,300321.0
23,559,300321.0
23,560,300321.0
23,561,300321.0
23,562,300321.0
23,563,300321.0
23,564,300321.0
23,565,300321.0
23,566,300321.0
23,567,300321.0
23,568,300321.0
23,569,300321.0
23,570,300321.0
23,571,300321.0
23,572,300321.0
23,573,300321.0
23,574,300321.0
23,575,300321.0
23,576,300321.0
23,577,300321.0
23,578,300321.0
23,579,300321.0
23,580,300321.0
23,581,300321.0
23,582,300321.0
23,583,300321.0
23,584,300321.0
23,585,300321.0
23,586,300321.0
23,587,300321.0
23,588,300321.0
23,589,300321.0
23,590,300321.0
23,591,300321.0
23,592,300321.0
23,593,300321.0
23,594,300321.0
23,595,300321.0
23,596,300321.0
23,597,300321.0
23,598,300321.0
23,599,300321.0
23,600,300321.0
23,601,300321.0
23,602,300321.0
23,603,300321.0
23,604,300321.0
23,605,300321.0
23,606,300321.0
23,607,300321.0
23,608,300321.0
23,609,300321.0
