exec,step,bestf,worstf,avgf
19,0,366027.0,324292.8,334055.9962999997
19,1,366027.0,324509.1,334059.67609999975
19,2,366027.0,324614.0,334064.4427999998
19,3,366027.0,324656.1,334068.95079999976
19,4,366027.0,324828.3,334104.05969999975
19,5,366027.0,324929.9,334108.56929999974
19,6,366027.0,325034.1,334112.8793999997
19,7,366027.0,325053.4,334116.4429999997
19,8,366027.0,325132.5,334144.42159999965
19,9,366027.0,325215.7,334179.01509999967
19,10,366027.0,325299.5,334213.07139999967
19,11,366027.0,325357.4,334216.2811999997
19,12,366027.0,325369.3,334216.7925999997
19,13,366027.0,325423.4,334218.2482999996
19,14,366027.0,325432.1,334221.5683999997
19,15,366027.0,325482.8,334224.2869999997
19,16,366027.0,325486.9,334227.86669999966
19,17,366027.0,325542.1,334230.94829999964
19,18,366027.0,325583.4,334233.26729999966
19,19,366027.0,325614.6,334269.7238999997
19,20,366027.0,325616.4,334296.94929999963
19,21,366027.0,325647.3,334336.4308999997
19,22,366027.0,325670.2,334338.6739999997
19,23,366027.0,325674.0,334339.7624999997
19,24,366027.0,325713.7,334341.8772999997
19,25,366027.0,325784.3,334345.24459999974
19,26,366027.0,325791.7,334347.1564999997
19,27,366027.0,325809.8,334350.4117999997
19,28,366027.0,325825.3,334352.74159999966
19,29,366027.0,325828.4,334386.67629999964
19,30,366027.0,325845.5,334388.68979999964
19,31,366027.0,325860.7,334390.71929999965
19,32,366027.0,325868.8,334392.3412999997
19,33,366027.0,325869.2,334394.9084999997
19,34,366027.0,325906.4,334398.33119999967
19,35,366027.0,325911.3,334401.6059999997
19,36,366027.0,325945.3,334404.4063999997
19,37,366027.0,325974.9,334406.0702999997
19,38,366027.0,325984.1,334408.1433999996
19,39,366027.0,325984.9,334410.0507999997
19,40,366027.0,325999.7,334413.1223999997
19,41,366027.0,326011.4,334415.51839999965
19,42,366027.0,326012.0,334416.13629999966
19,43,366027.0,326031.2,334416.65949999966
19,44,366027.0,326034.0,334417.9521999997
19,45,366027.0,326038.2,334419.5021999997
19,46,366027.0,326064.1,334420.6413999997
19,47,366027.0,326107.9,334422.91749999963
19,48,366027.0,326109.2,334459.5825999996
19,49,366027.0,326128.4,334462.69869999966
19,50,366027.0,326148.2,334465.6488999996
19,51,366027.0,326162.2,334500.09169999964
19,52,366027.0,326188.6,334536.47449999966
19,53,366027.0,326188.7,334539.37909999967
19,54,366027.0,326191.8,334542.2346999997
19,55,366027.0,326193.2,334544.68279999966
19,56,366027.0,326219.5,334567.87259999965
19,57,366027.0,326219.5,334570.0105999997
19,58,366027.0,326226.4,334571.96559999965
19,59,366027.0,326234.3,334572.3431999997
19,60,366027.0,326244.7,334575.5105999997
19,61,366027.0,326270.3,334612.8158999997
19,62,366027.0,326273.7,334614.5141999996
19,63,366027.0,326280.8,334617.5371999996
19,64,366027.0,326315.4,334619.9095999996
19,65,366027.0,326322.7,334647.68019999965
19,66,366027.0,326333.9,334685.8384999996
19,67,366027.0,326334.8,334686.1166999996
19,68,366027.0,326339.0,334686.78519999963
19,69,366027.0,326370.3,334716.98419999966
19,70,366027.0,326374.1,334719.12099999964
19,71,366027.0,326404.5,334721.96099999966
19,72,366027.0,326432.1,334723.3083999997
19,73,366027.0,326433.9,334725.35789999965
19,74,366027.0,326435.7,334727.3409999996
19,75,366027.0,326454.1,334730.2889999996
19,76,366027.0,326487.5,334730.9185999996
19,77,366027.0,326488.0,334769.4770999996
19,78,366027.0,326490.9,334806.8450999996
19,79,366027.0,326314.8,334806.6689999996
19,80,366032.0,326502.7,334846.38619999966
19,81,366032.0,326507.0,334848.7443999997
19,82,366032.0,326510.4,334849.47169999965
19,83,366032.0,326511.4,334882.26429999963
19,84,366032.0,326534.9,334884.4956999996
19,85,366032.0,326535.2,334885.99999999965
19,86,366032.0,326537.4,334913.49279999966
19,87,366032.0,326537.5,334914.78449999966
19,88,366032.0,326540.2,334917.54769999965
19,89,366032.0,326541.3,334919.28099999967
19,90,366032.0,326543.6,334920.67119999963
19,91,366032.0,326548.4,334956.5055999997
19,92,366032.0,326560.8,334961.7761999996
19,93,366032.0,326561.8,334964.15359999967
19,94,366032.0,326566.3,334964.9148999996
19,95,366032.0,326569.4,334966.1388999996
19,96,366032.0,326570.8,334968.60039999965
19,97,366032.0,326577.2,334969.36169999966
19,98,366032.0,326583.0,335005.80849999964
19,99,366032.0,326591.3,335007.3289999996
19,100,366032.0,326604.0,335027.88569999964
19,101,366032.0,326612.1,335028.7910999996
19,102,366032.0,326616.8,335030.4830999996
19,103,366032.0,326619.9,335032.84669999965
19,104,366032.0,326626.8,335058.89679999964
19,105,366032.0,326629.3,335061.43869999965
19,106,366032.0,326631.5,335062.3851999996
19,107,366032.0,326631.9,335064.5066999996
19,108,366032.0,326647.2,335067.1174999996
19,109,366032.0,326651.5,335100.0132999996
19,110,366032.0,326656.1,335101.43119999964
19,111,366032.0,326657.2,335102.76309999963
19,112,366032.0,326662.0,335135.0568999997
19,113,366032.0,326565.6,335134.96049999964
19,114,366032.0,326662.6,335137.58249999967
19,115,366032.0,326668.1,335139.36779999966
19,116,366032.0,326673.2,335142.1216999996
19,117,366032.0,326695.9,335142.9310999996
19,118,366032.0,326708.7,335175.7551999996
19,119,366032.0,326736.6,335205.75749999966
19,120,366032.0,326739.8,335208.2877999996
19,121,366032.0,326742.4,335208.7929999996
19,122,366032.0,326524.8,335208.5753999996
19,123,366032.0,326746.7,335211.0610999996
19,124,366032.0,326752.9,335249.77639999957
19,125,366032.0,326753.6,335251.98039999953
