exec,step,bestf,worstf,avgf
28,0,366089.0,324397.8,334494.20540000004
28,1,366089.0,324408.9,334498.17040000006
28,2,366089.0,324664.2,334501.3029
28,3,366089.0,324675.9,334505.85270000005
28,4,366089.0,324817.7,334508.1339
28,5,366089.0,324862.2,334536.4172
28,6,366089.0,324943.0,334540.2021000001
28,7,366089.0,324978.0,334579.59310000006
28,8,366089.0,325002.4,334583.47800000006
28,9,366089.0,325135.8,334609.42660000006
28,10,366089.0,325242.9,334612.1788
28,11,366089.0,325306.1,334615.9238
28,12,366089.0,325321.7,334617.6608
28,13,366089.0,325335.1,334650.67510000005
28,14,366089.0,325355.2,334658.88100000005
28,15,366089.0,325385.1,334661.25010000006
28,16,366089.0,325403.1,334686.99200000014
28,17,366089.0,325422.4,334717.9359000001
28,18,366089.0,325483.0,334720.4637000001
28,19,366089.0,325490.7,334721.53260000015
28,20,366089.0,325491.7,334725.3125000001
28,21,366089.0,325539.1,334758.4268000001
28,22,366089.0,325558.1,334762.1549000001
28,23,366089.0,325569.3,334779.14480000007
28,24,366089.0,325616.3,334815.5665000001
28,25,366089.0,325668.7,334853.9762000001
28,26,366089.0,325686.9,334857.20590000006
28,27,366089.0,325701.4,334858.58230000007
28,28,366089.0,325709.7,334888.5609000001
28,29,366089.0,325767.3,334892.2634000001
28,30,366089.0,325787.5,334894.7029000001
28,31,366089.0,325821.5,334904.2204000001
28,32,366089.0,325829.6,334906.49730000005
28,33,366089.0,325839.7,334909.96860000014
28,34,366089.0,325843.6,334941.2129000001
28,35,366089.0,325847.2,334943.09130000015
28,36,366089.0,325850.1,334945.4019000002
28,37,366089.0,325858.5,334948.99180000013
28,38,366089.0,325869.5,334949.6693000001
28,39,366089.0,325892.3,334986.36480000016
28,40,366089.0,325900.2,335020.1055000001
28,41,366089.0,325902.3,335022.40750000015
28,42,366089.0,325939.4,335058.3682000001
28,43,366089.0,325968.7,335097.43180000014
28,44,366089.0,325973.1,335100.15890000015
28,45,366089.0,325974.5,335124.5468000002
28,46,366089.0,325995.2,335159.2153000002
28,47,366089.0,326044.0,335162.0068000002
28,48,366089.0,326080.9,335163.26330000017
28,49,366089.0,326085.7,335165.9310000001
28,50,366089.0,326091.8,335167.9804000002
28,51,366089.0,326100.6,335204.98260000016
28,52,366089.0,326106.1,335205.6081000001
28,53,366089.0,326134.3,335208.5519000001
28,54,366089.0,326167.3,335210.6554000001
28,55,366089.0,326184.9,335240.40710000007
28,56,366089.0,326193.4,335240.41560000007
28,57,366089.0,326196.8,335263.1162000001
28,58,366089.0,326204.0,335264.35950000014
28,59,366089.0,326213.3,335304.1025000001
28,60,366089.0,326225.7,335340.7022000001
28,61,366089.0,326235.0,335341.2397000001
28,62,366089.0,326237.1,335376.9137000001
28,63,366089.0,326246.0,335407.72260000015
28,64,366089.0,326250.0,335409.01900000015
28,65,366089.0,326260.6,335448.3910000001
28,66,366089.0,326278.5,335450.7501000001
28,67,366089.0,326267.5,335450.7391000001
28,68,366089.0,326305.8,335485.0836000001
28,69,366089.0,326307.6,335509.63780000014
28,70,366089.0,326307.8,335534.3452000001
28,71,366089.0,326322.5,335564.5184000001
28,72,366089.0,326339.4,335566.7629000001
28,73,366089.0,326364.4,335568.2616000001
28,74,366089.0,326386.4,335569.24260000006
28,75,366089.0,326400.1,335570.27600000007
28,76,366089.0,326413.1,335602.3429000001
28,77,366089.0,326414.3,335604.2076000001
28,78,366089.0,326418.0,335641.9273000001
28,79,366089.0,324883.7,335640.3930000001
28,80,366089.0,326425.4,335643.9488000001
28,81,366089.0,326429.1,335646.4343000001
28,82,366089.0,326439.8,335648.1279000001
28,83,366089.0,326441.2,335649.4665000001
28,84,366089.0,326447.8,335651.4951000001
28,85,366089.0,326450.5,335654.2670000001
28,86,366089.0,326452.2,335656.5779000001
28,87,366089.0,326464.2,335693.6097000001
28,88,366089.0,326475.2,335694.63810000016
28,89,366089.0,326067.9,335694.23080000014
28,90,366089.0,326478.1,335697.13430000015
28,91,366089.0,326482.1,335726.5982000001
28,92,366089.0,326494.3,335727.3395000001
28,93,366089.0,326520.3,335765.8112000001
28,94,366089.0,326524.3,335793.80290000007
28,95,366089.0,326536.0,335795.53470000013
28,96,366089.0,326540.8,335798.1323000001
28,97,366089.0,326551.9,335800.01490000007
28,98,366089.0,326553.3,335832.30700000015
28,99,366089.0,326555.1,335834.0916000001
28,100,366089.0,326558.1,335835.8013000001
28,101,366089.0,326560.8,335874.2872000001
28,102,366089.0,326571.8,335911.4854000001
28,103,366089.0,326573.7,335913.56830000016
28,104,366089.0,326584.3,335914.3470000001
28,105,366089.0,326584.7,335916.4423000001
28,106,366089.0,326587.0,335917.7961000001
28,107,366089.0,326610.2,335920.5190000001
28,108,366089.0,326610.3,335922.4956000001
28,109,366089.0,326633.2,335924.62170000013
28,110,366089.0,326636.0,335951.37550000014
28,111,366089.0,326637.7,335954.0564000001
28,112,366089.0,326654.0,335956.1827000001
28,113,366089.0,326655.2,335957.1604000001
28,114,366089.0,326658.2,335959.21230000013
28,115,366089.0,326673.3,335995.3961000001
28,116,366089.0,326675.1,336021.52780000016
28,117,366089.0,326678.0,336023.1582000001
28,118,366089.0,326679.4,336025.45530000015
28,119,366089.0,326682.3,336027.3397000002
28,120,366089.0,326685.6,336064.0554000001
28,121,366089.0,326694.5,336095.90380000015
28,122,366089.0,326700.3,336119.9703000001
28,123,366089.0,326713.1,336121.6569000002
28,124,366089.0,326718.3,336123.2363000001
28,125,366089.0,326726.1,336125.14150000014
28,126,366089.0,326726.3,336156.0104000001
28,127,366089.0,326726.9,336177.2921000001
28,128,366089.0,326734.7,336179.0932000001
28,129,366089.0,326744.8,336217.5405000001
28,130,366089.0,326751.2,336218.49170000013
28,131,366089.0,326753.3,336220.60780000006
28,132,366089.0,326763.2,336221.0564000001
28,133,366089.0,326765.9,336223.26360000006
28,134,366089.0,326773.1,336225.2084000001
28,135,366089.0,326776.0,336251.47730000014
28,136,366089.0,326786.1,336252.8169000001
28,137,366089.0,326802.5,336253.5879000001
28,138,366089.0,326804.8,336286.0184000001
28,139,366089.0,326805.6,336286.1248000001
28,140,366089.0,326816.9,336286.89250000013
28,141,366089.0,326822.2,336289.0319000001
28,142,366089.0,326507.8,336288.71750000014
28,143,366089.0,326837.3,336291.1219000001
28,144,366089.0,326838.1,336292.5912000001
28,145,366089.0,326840.3,336321.0821000001
28,146,366089.0,326850.9,336323.65920000017
28,147,366089.0,326852.8,336325.8146000002
28,148,366089.0,326859.4,336328.41120000015
28,149,366089.0,326867.3,336330.2276000002
28,150,366089.0,326874.1,336367.2943000002
28,151,366089.0,326874.6,336402.9722000002
28,152,366089.0,326787.9,336402.8855000001
28,153,366089.0,326881.3,336404.1142000002
28,154,366089.0,326884.0,336405.38030000014
28,155,366089.0,326891.1,336443.56830000016
28,156,366089.0,326897.4,336444.75280000013
28,157,366089.0,326908.5,336446.42470000015
28,158,366089.0,326911.2,336447.70260000014
28,159,366089.0,326911.5,336447.95170000015
28,160,366089.0,326916.3,336449.73440000013
28,161,366089.0,326920.2,336450.64250000013
28,162,366089.0,326924.9,336488.3003000001
28,163,366089.0,326928.1,336489.07940000016
28,164,366089.0,326936.8,336516.93730000017
28,165,366089.0,326950.2,336537.5225000002
28,166,366089.0,326957.1,336539.5759000002
28,167,366089.0,326958.5,336541.63530000026
28,168,366089.0,326962.9,336543.6587000002
28,169,366089.0,326966.5,336544.7507000002
28,170,366089.0,326967.3,336544.80950000026
28,171,366089.0,326968.1,336545.76850000024
28,172,366089.0,326974.1,336548.2676000002
28,173,366089.0,326983.9,336549.22920000023
