exec,bestf,worstf,avgf,endstep,duration
1,366095.0,327807.6,364925.9816,51000,1302
2,366094.0,328495.8,364954.31580000004,51000,1126
3,366092.0,360756.0,364902.151,51000,1108
4,366093.0,328136.9,364886.8589,51000,1178
5,366095.0,327518.3,364986.5713,51000,1136
6,366097.0,360566.0,363613.802,27585,608
7,366095.0,327168.2,364939.8392,51000,1106
8,366092.0,328362.1,364908.5851,51000,1176
9,366096.0,327647.6,364955.5346,51000,1230
10,366097.0,329039.0,345885.5676,6455,154
11,366095.0,328563.2,364925.6932,51000,1197
12,366093.0,327413.5,364945.1355,51000,1127
13,366095.0,328511.9,364924.29189999995,51000,1126
14,366095.0,328265.0,364871.718,51000,1125
15,366096.0,363345.0,364898.868,51000,1159
16,366096.0,325894.3,364948.7033,51000,1105
17,366097.0,358505.0,363099.485,23428,501
18,366097.0,362760.0,364571.189,37537,812
19,366097.0,328787.3,342779.4687000001,4542,97
20,366091.0,328770.7,364960.7117,51000,1125
21,366096.0,328671.3,364933.9303,51000,1127
22,366096.0,327348.4,364899.0954,51000,1106
23,366095.0,327182.2,364910.9592,51000,1085
24,366096.0,328118.2,364933.7622,51000,1103
25,366089.0,328613.2,364899.5232,51000,1097
26,366097.0,362334.0,364364.014,37457,815
27,366097.0,329360.1,354651.6258999997,12829,270
28,366091.0,327229.7,364976.15969999996,51000,1110
29,366090.0,363609.0,364909.005,51000,1105
30,366097.0,323861.6,333710.98960000003,1001,21
