exec,step,bestf,worstf,avgf
9,0,3660.0,2787.0,3329.195
9,1,3660.0,2796.0,3336.565
9,2,3660.0,2853.0,3341.295
9,3,3660.0,3044.0,3348.545
9,4,3660.0,3047.0,3351.785
9,5,3660.0,3140.0,3353.349
9,6,3660.0,3159.0,3354.846000000001
9,7,3660.0,3178.5,3356.2530000000006
9,8,3660.0,3193.4,3357.2000000000007
9,9,3660.0,3195.0,3360.916000000001
9,10,3660.0,3108.0,3360.0460000000007
9,11,3660.0,3203.4,3363.226000000001
9,12,3660.0,3213.9,3363.7820000000006
9,13,3660.0,3214.9,3364.317000000001
9,14,3660.0,3217.5,3365.207000000001
9,15,3660.0,3220.8,3365.437000000001
9,16,3660.0,3223.5,3367.3190000000004
9,17,3660.0,3233.6,3367.9580000000005
9,18,3660.0,3240.5,3368.3450000000007
9,19,3660.0,3241.1,3368.351000000001
9,20,3660.0,3215.6,3368.096000000001
9,21,3660.0,3243.4,3368.5980000000004
9,22,3660.0,3173.0,3367.8940000000002
9,23,3660.0,3244.2,3368.8670000000006
9,24,3660.0,3245.3,3369.1180000000004
9,25,3660.0,3245.7,3369.5130000000004
9,26,3660.0,3251.3,3370.125
9,27,3660.0,3253.4,3374.112
9,28,3660.0,3225.0,3373.828
9,29,3660.0,3254.2,3374.238
9,30,3660.0,3255.1,3374.566
9,31,3660.0,3259.0,3377.185
9,32,3660.0,3259.1,3377.429
9,33,3660.0,3262.9,3380.058
9,34,3660.0,3263.4,3380.422
9,35,3660.0,3263.5,3383.7680000000005
9,36,3660.0,3104.0,3382.1730000000007
9,37,3660.0,3180.0,3382.9330000000004
9,38,3660.0,3265.8,3385.2930000000006
9,39,3660.0,2951.0,3382.1450000000004
9,40,3660.0,3152.0,3384.1550000000007
9,41,3660.0,3266.0,3385.4980000000005
9,42,3660.0,3060.0,3383.4380000000006
9,43,3660.0,2932.0,3382.1580000000004
9,44,3660.0,3250.5,3385.3430000000003
9,45,3660.0,3267.0,3385.7880000000005
9,46,3660.0,3267.2,3387.8680000000004
9,47,3660.0,3267.4,3388.202
9,48,3660.0,3268.3,3388.437
9,49,3660.0,3247.5,3388.2290000000003
9,50,3660.0,3269.0,3388.5680000000007
9,51,3660.0,3269.1,3392.0080000000003
9,52,3660.0,3269.3,3392.166
9,53,3660.0,3251.6,3391.989
9,54,3660.0,3270.0,3395.813
9,55,3660.0,3270.0,3397.333
9,56,3660.0,3270.3,3397.514
9,57,3660.0,3268.3,3397.494
9,58,3660.0,3000.0,3394.811
9,59,3660.0,3271.8,3397.76
9,60,3660.0,3272.3,3401.1820000000002
9,61,3660.0,3272.5,3401.534
9,62,3660.0,3272.8,3403.6090000000004
9,63,3660.0,3272.8,3403.771
9,64,3660.0,3273.1,3403.9720000000007
9,65,3660.0,3234.2,3403.5830000000005
9,66,3660.0,3273.1,3405.4410000000003
9,67,3660.0,3273.2,3405.4850000000006
9,68,3660.0,3269.0,3405.4430000000007
9,69,3660.0,3274.2,3405.8130000000006
9,70,3677.0,3277.5,3409.841
