exec,bestf,worstf,avgf,endstep,duration
1,366097.0,362174.0,364208.355,13931,490
2,366097.0,364423.0,365275.102,29061,771
3,366096.0,359063.0,365603.841,51000,1213
4,366097.0,364682.0,365395.839,35748,834
5,366097.0,364998.0,365549.591,44753,1058
6,366096.0,328686.3,365570.94930000004,51000,1168
7,366097.0,364765.0,365452.857,38653,876
8,366097.0,364322.0,365221.236,28745,664
9,366094.0,329293.3,365579.42230000003,51000,1170
10,366097.0,362914.0,364592.879,17040,394
11,366097.0,357947.0,362454.309,7851,179
12,366095.0,329223.9,365604.85189999995,51000,1181
13,366096.0,329097.2,365588.4272,51000,1216
14,366097.0,358860.0,362884.728,8509,195
15,366097.0,364918.0,365511.45,40403,928
16,366097.0,365110.0,365629.219,48561,1120
17,366096.0,354980.0,365603.557,51000,1172
18,366097.0,364382.0,365231.024,29486,689
19,366095.0,326544.3,365569.5823,51000,1188
20,366096.0,326672.3,365595.33530000004,51000,1204
21,366097.0,364316.0,365218.279,28066,641
22,366097.0,351156.0,360363.049,5507,125
23,366097.0,363759.0,364941.753,21383,483
24,366097.0,364306.0,365208.826,27318,622
25,366096.0,328906.8,365601.3048,51000,1151
26,366095.0,327195.8,365565.0468,51000,1157
27,366097.0,364941.0,365546.874,42737,973
28,366097.0,364141.0,365114.521,26125,591
29,366097.0,364729.0,365432.978,36810,833
30,366096.0,326423.2,365563.21619999997,51000,1157
