exec,bestf,worstf,avgf,endstep,duration
1,366097.0,364980.0,365557.45,29553,856
2,366097.0,364578.0,365329.244,21984,564
3,366097.0,328953.9,347738.7413999999,2308,51
4,366097.0,362404.0,364279.507,9489,216
5,366096.0,328428.2,365746.4322,51000,1178
6,366096.0,359007.0,365755.099,51000,1194
7,366097.0,324574.4,334871.3178,1001,21
8,366097.0,365046.0,365569.818,31860,719
9,366097.0,365309.0,365702.314,43674,994
10,366097.0,364487.0,365302.458,21393,472
11,366096.0,328962.9,365736.3759,51000,1132
12,366097.0,329440.6,356503.2374999999,2974,63
13,366097.0,361576.0,363931.956,8294,182
14,366096.0,329250.8,365717.1958,51000,1134
15,366097.0,328208.6,341318.8706999996,1616,35
16,366097.0,362197.0,364177.946,9924,220
17,366097.0,363666.0,364908.474,14153,322
18,366096.0,329430.7,365731.2337,51000,1140
19,366097.0,360166.0,363270.659,6336,140
20,366097.0,329128.9,350349.1286999998,2441,53
21,366096.0,362893.0,365767.505,51000,1139
22,366096.0,328978.3,365753.79730000003,51000,1134
23,366097.0,348729.0,359116.94,3467,76
24,366097.0,364855.0,365476.946,27862,621
25,366097.0,364603.0,365368.682,23594,525
26,366097.0,363594.0,364858.767,13608,301
27,366097.0,364563.0,365326.952,21753,490
28,366094.0,328580.7,365725.11069999996,51000,1147
29,366097.0,364726.0,365373.246,23742,533
30,366097.0,365119.0,365610.297,36937,826
