exec,bestf,worstf,avgf,endstep,duration
1,3677.0,3275.6,3408.8509999999997,178,26
2,3677.0,3537.0,3610.8,858,13
3,3677.0,3612.0,3644.2,1646,21
4,3677.0,3299.0,3462.72,274,3
5,3677.0,3624.0,3650.26,1868,13
6,3677.0,3382.0,3537.13,492,4
7,3677.0,3596.0,3637.08,1225,7
8,3677.0,3298.0,3461.2470000000008,234,3
9,3677.0,3531.0,3606.9,834,5
10,3677.0,3299.6,3454.803,272,2
11,3677.0,2994.0,3328.872000000001,101,1
12,3677.0,3650.0,3662.76,3068,16
13,3677.0,3547.0,3613.74,857,5
14,3677.0,3483.0,3586.94,543,3
15,3677.0,3619.0,3651.16,2021,11
16,3677.0,3308.2,3510.035,407,2
17,3677.0,3484.0,3578.49,679,3
18,3677.0,3478.0,3582.1,613,4
19,3677.0,3609.0,3641.82,1504,9
20,3677.0,3296.2,3455.0890000000004,247,2
21,3677.0,3627.0,3651.56,2289,12
22,3677.0,3642.0,3661.69,2701,14
23,3677.0,3527.0,3609.56,745,4
24,3677.0,3547.0,3616.22,883,5
25,3677.0,3623.0,3650.26,1655,8
26,3677.0,3493.0,3592.31,536,3
27,3677.0,3309.0,3500.17,379,2
28,3677.0,3590.0,3635.47,1122,5
29,3677.0,3604.0,3641.88,1034,5
30,3677.0,3607.0,3639.56,1679,7
