exec,bestf,worstf,avgf,endstep,duration
1,366095.0,326074.3,364863.2893,51000,4299
2,366096.0,363628.0,364957.774,51000,3504
3,366097.0,362695.0,364459.714,39652,2756
4,366097.0,326183.0,334839.8339999995,1052,25
5,366096.0,327199.3,364884.60730000003,51000,3703
6,366090.0,329147.3,364953.5193,51000,3443
7,366097.0,328699.3,343064.4572000002,3600,217
8,366097.0,361514.0,364085.794,33619,2417
9,366097.0,360987.0,363878.981,31479,2117
10,366093.0,327578.9,364820.9129,51000,3588
11,366095.0,327853.8,364842.2578,51000,3583
12,366097.0,361462.0,363976.458,32828,2239
13,366096.0,327956.0,364915.148,51000,3607
14,366097.0,328590.3,341139.66070000007,2948,156
15,366095.0,327735.9,364887.82389999996,51000,3498
16,366096.0,325589.0,364902.68,51000,3555
17,366097.0,361126.0,363941.552,31069,2031
18,366097.0,363221.0,364759.219,47006,3153
19,366092.0,327408.0,364866.519,51000,3442
20,366097.0,350495.0,361093.772,16638,1070
21,366097.0,358700.0,363088.141,23886,1572
22,366092.0,328502.0,364962.902,51000,3424
23,366095.0,325598.6,364900.13560000004,51000,3370
24,366095.0,326403.7,364771.6557,51000,3398
25,366097.0,363521.0,364868.265,46817,3128
26,366094.0,327674.5,364820.1215,51000,3367
27,366097.0,356761.0,362464.853,21230,1417
28,366097.0,360631.0,363678.579,30542,2007
29,366096.0,328899.2,364838.4652,51000,3387
30,366096.0,326666.5,364856.7985,51000,3363
