exec,bestf,worstf,avgf,endstep,duration
1,366096.0,328966.4,365737.15839999996,51000,4171
2,366097.0,362328.0,364225.657,10125,755
3,366095.0,327819.6,365714.3896,51000,3556
4,366097.0,364268.0,365174.327,19215,1354
5,366097.0,365366.0,365742.008,45742,3155
6,366097.0,363876.0,364986.602,15446,1013
7,366096.0,328277.2,365740.80319999997,51000,3523
8,366096.0,329186.6,365737.66860000003,51000,3538
9,366096.0,365183.0,365766.972,51000,3438
10,366097.0,363348.0,364736.315,12551,829
11,366097.0,365068.0,365571.916,31874,2195
12,366097.0,365326.0,365700.222,46848,3466
13,366097.0,365249.0,365681.832,40116,2805
14,366097.0,365098.0,365590.826,34375,2276
15,366097.0,343757.0,358100.682,3112,160
16,366096.0,327902.2,365739.9192,51000,3370
17,366097.0,365204.0,365649.44,36635,2434
18,366097.0,363670.0,364890.317,13655,876
19,366097.0,364898.0,365500.086,27759,1831
20,366097.0,365397.0,365755.13,47925,3166
21,366097.0,361032.0,363610.01,7358,442
22,366097.0,365112.0,365593.781,33171,2227
23,366097.0,363225.0,364685.626,12630,803
24,366097.0,363889.0,365019.472,16225,1045
25,366097.0,328365.3,341705.87030000036,1782,74
26,366097.0,361806.0,364041.089,8689,540
27,366097.0,365163.0,365630.841,37184,2591
28,366097.0,361991.0,364165.109,8910,578
29,366096.0,328717.5,365720.5805,51000,3436
30,366097.0,365149.0,365630.726,35388,2339
