exec,bestf,worstf,avgf,endstep,duration
1,3.7957321E7,3.7363344E7,3.784170148E7,60000,13998
2,3.7957299E7,3.7636161E7,3.78447241683E7,60000,15128
3,3.7957316E7,3.7739828E7,3.78430475988E7,60000,15307
4,3.7957299E7,3.6954718E7,3.78423828605E7,60000,15024
5,3.7957321E7,3.7433411E7,3.78429410863E7,60000,15637
6,3.7957294E7,3.7161667E7,3.78455345488E7,60000,15233
7,3.7957311E7,3.6921417E7,3.78440540806E7,60000,15566
8,3.7957312E7,3.7520184E7,3.78445223658E7,60000,15329
9,3.7957315E7,3.7681242E7,3.78451895838E7,60000,15955
10,3.7957324E7,3.7737126E7,3.78415399321E7,60000,15730
11,3.7957314E7,3.7326547E7,3.78439129542E7,60000,15466
12,3.795731E7,3.7719754E7,3.78426468228E7,60000,14841
13,3.7957306E7,3.7475961E7,3.78426437826E7,60000,15159
14,3.7957324E7,3.41231134E7,3.784357602294E7,60000,15485
15,3.7957313E7,3.7738921E7,3.78437467767E7,60000,15412
16,3.7957293E7,3.7739824E7,3.78437545274E7,60000,15703
17,3.795731E7,3.41596864E7,3.784527567944E7,60000,15209
18,3.7957325E7,3.7178186E7,3.75766077167E7,15936,3609
19,3.7957281E7,3.6951063E7,3.78423423461E7,60000,15313
20,3.7957288E7,3.7569217E7,3.78424562981E7,60000,15133
21,3.7957304E7,3.7430192E7,3.78433610897E7,60000,15002
22,3.7957324E7,3.6928343E7,3.78414979959E7,60000,16043
23,3.795732E7,3.7566425E7,3.78449385827E7,60000,15085
24,3.7957296E7,3.41115229E7,3.784104681509E7,60000,16479
25,3.7957321E7,3.65521E7,3.78424658938E7,60000,16971
26,3.7957262E7,3.7492945E7,3.78434616552E7,60000,15221
27,3.7957269E7,3.7355564E7,3.78438130426E7,60000,16530
28,3.7957318E7,3.7182303E7,3.78454542102E7,60000,15699
29,3.7957312E7,3.7619823E7,3.78415981361E7,60000,15122
30,3.7957316E7,3.7240481E7,3.78435689975E7,60000,14787
